type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.10.38-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-2,-16.40750893135696,-71.5130415572839,8184324.0210472,231604.638809343,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40733482355494,-71.51260077297023,8184343.88018248,231651.501644545,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40722288570402,-71.51227638609407,8184356.70230435,231686.011726464,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40715368280735,-71.51218721740779,8184364.4817533,231695.445263621,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40700152906515,-71.51224785868203,8184381.24618597,231688.756432234,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.4072109958018,-71.51314088461133,8184356.87353145,231593.615865208,False, , ,0, , , , , , 
TRACK,1.10.38-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-1,-16.40771752148193,-71.51377922370341,8184299.95090567,231526.098886764,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.4075492465279,-71.51326794309529,8184319.25788269,231580.502788902,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40749629628413,-71.51308198285372,8184325.36630537,231600.301632448,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.4072039928718,-71.51317084931053,8184357.60911966,231590.404251198,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40756020680724,-71.51443610428538,8184316.4964377,231455.689291556,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40795016873248,-71.51428235907407,8184273.52799203,231472.653850308,False, , ,0, , , , , , 
TRACK,1.10.38-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-3,-16.41048944896536,-71.51320446614693,8183993.83579488,231591.321903526,False, , ,0, , , , , , 
TRACK,1.10.38-3,-16.40955177768175,-71.51114067562109,8184100.37762995,231810.566789331,False, , ,0, , , , , , 
TRACK,1.10.38-3,-16.407196609371,-71.51217888195528,8184359.74044873,231696.394877656,False, , ,0, , , , , , 
TRACK,1.10.38-3,-16.4079812971341,-71.51427060067391,8184270.09738815,231473.953084726,False, , ,0, , , , , , 
TRACK,1.10.38-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-4,-16.41066641695088,-71.51308870016905,8183974.39728064,231603.935285494,False, , ,0, , , , , , 
TRACK,1.10.38-4,-16.41048478090436,-71.51133847650694,8183996.82422988,231790.710096437,False, , ,0, , , , , , 
TRACK,1.10.38-4,-16.40984999564267,-71.51160808563026,8184066.74345386,231761.029532562,False, , ,0, , , , , , 
TRACK,1.10.38-4,-16.41055324937445,-71.51314956260546,8183986.84527976,231597.276335723,False, , ,0, , , , , , 
TRACK,1.10.38-5, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-5,-16.4104909573845,-71.51125357076444,8183996.25286024,231799.791361122,False, , ,0, , , , , , 
TRACK,1.10.38-5,-16.41043152548325,-71.51077078021693,8184003.47165319,231851.299498055,False, , ,0, , , , , , 
TRACK,1.10.38-5,-16.40965379976469,-71.51108980503352,8184089.1502532,231816.142637518,False, , ,0, , , , , , 
TRACK,1.10.38-5,-16.4098246607669,-71.51154042377894,8184069.63783892,231768.224959159,False, , ,0, , , , , , 
TRACK,1.10.38-6, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-6,-16.41073353778884,-71.51150400944641,8183969.06550283,231773.36297493,False, , ,0, , , , , , 
TRACK,1.10.38-6,-16.41069895119189,-71.51065708695342,8183974.01582901,231863.8152008,False, , ,0, , , , , , 
TRACK,1.10.38-6,-16.41051554561342,-71.51073147802518,8183994.22192892,231855.614451935,False, , ,0, , , , , , 
TRACK,1.10.38-6,-16.41059790921158,-71.51152721543896,8183984.0500318,231770.697178044,False, , ,0, , , , , , 
TRACK,1.10.38-7, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.10.38-7,-16.41068873044198,-71.51056003286379,8183975.27582522,231874.172098848,False, , ,0, , , , , , 
TRACK,1.10.38-7,-16.41066751199725,-71.50938629361917,8183979.17818168,231999.565294063,False, , ,0, , , , , , 
TRACK,1.10.38-7,-16.41033839136214,-71.50951773167394,8184015.4407335,231985.069057257,False, , ,0, , , , , , 
TRACK,1.10.38-7,-16.41049027686339,-71.51062583589328,8183997.1592387,231866.868416811,False, , ,0, , , , , , 
