type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.16.1-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-1;-16.5556588;-71.44316525;8168014.452;239269.9163;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-1;-16.55549674;-71.44277038;8168032.906;239311.8594;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-1;-16.55498374;-71.44291924;8168089.504;239295.2745;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-1;-16.55515669;-71.44334692;8168069.802;239249.8421;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-2;-16.55566096;-71.44319955;8168014.169;239266.2562;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-2;-16.55515744;-71.4433886;8168069.665;239245.3936;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-2;-16.55535051;-71.44392613;8168047.594;239188.2599;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-2;-16.55587561;-71.44366051;8167989.808;239217.3274;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-3;-16.55634468;-71.44461389;8167936.641;239116.1646;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-3;-16.55589068;-71.44369323;8167988.096;239213.8542;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-3;-16.55533065;-71.44395753;8168049.751;239184.8806;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-3;-16.55559329;-71.44490191;8168019.449;239084.3994;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-4; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-4;-16.5567867;-71.44450241;8167887.851;239128.663;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-4;-16.55661778;-71.44385003;8167907.399;239198.0909;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-4;-16.55630039;-71.44340472;8167943.114;239245.2105;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-4;-16.55589447;-71.44361196;8167987.782;239222.5366;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-4;-16.5563578;-71.44461535;8167935.186;239116.0258;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-5; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-5;-16.55686736;-71.44520041;8167878.015;239054.2439;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-5;-16.55678552;-71.44454853;8167887.922;239123.7362;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-5;-16.55636339;-71.44466075;8167934.509;239111.1857;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-5;-16.55652998;-71.44522615;8167915.331;239051.0412;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-6; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-6;-16.55639251;-71.44541852;8167930.3;239030.3168;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-6;-16.55645465;-71.44504189;8167923.911;239070.614;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-6;-16.55634433;-71.44465466;8167936.627;239111.8104;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-6;-16.55559932;-71.44491992;8168018.758;239082.4851;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-7; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.1-7;-16.5568205;-71.44803945;8167879.512;238751.05;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-7;-16.55689618;-71.44707886;8167872.383;238853.7172;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-7;-16.55613668;-71.44731114;8167956.161;238827.8919;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-7;-16.55621053;-71.44903446;8167945.744;238643.9872;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.1-7;-16.55673612;-71.44897247;8167887.64;238651.3157;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.2-1;-16.5582535;-71.45031817;8167717.906;238509.6804;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55871872;-71.45051861;8167666.142;238488.9066;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55878792;-71.45024512;8167658.837;238518.2013;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55882739;-71.45005852;8167654.711;238538.1782;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55901174;-71.4497281;8167634.732;238573.7063;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55920204;-71.44944272;8167614.036;238604.4337;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55937012;-71.44904474;8167595.947;238647.153;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55908666;-71.44900002;8167627.386;238651.5459;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55846018;-71.44872376;8167697.101;238680.197;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-1;-16.55787524;-71.45021887;8167759.91;238519.7717;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.2-2;-16.56074795;-71.44948348;8167442.842;238602.1682;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-2;-16.56104037;-71.4492838;8167410.729;238623.8826;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-2;-16.56111364;-71.44900342;8167402.983;238653.9183;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-2;-16.56068055;-71.44894991;8167450.999;238659.0473;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-2;-16.56050339;-71.44940139;8167470.024;238610.6029;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.2-3;-16.55864414;-71.45138159;8167673.274;238396.6646;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-3;-16.55878341;-71.45153712;8167657.653;238380.2468;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.2-3;-16.55893709;-71.45137268;8167640.855;238398.0113;False; ; ;0; ; ; ; ; ; 
