type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.18.1-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43915612;-71.59098999;8180715.347;223319.7652;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43861232;-71.59055741;8180776.145;223365.215;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43852101;-71.59073229;8180786.015;223346.3999;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43908854;-71.59118981;8180722.556;223298.3193;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43921169;-71.59074952;8180709.524;223345.5381;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43874663;-71.59036869;8180761.534;223385.5697;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43862919;-71.59053743;8180774.305;223367.3729;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43916057;-71.59094994;8180714.909;223324.0513;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43921659;-71.59065523;8180709.11;223355.6195;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43925784;-71.59058439;8180704.64;223363.2468;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43929846;-71.59042245;8180700.365;223380.6072;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43892174;-71.59009337;8180742.523;223415.2346;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43880533;-71.59029259;8180755.138;223393.784;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43827313;-71.58985739;8180814.656;223439.5296;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43877224;-71.59027064;8180758.833;223396.0817;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.4388981;-71.590081;8180745.157;223416.5225;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43853204;-71.58977707;8180786.101;223448.4783;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43842044;-71.5896941;8180798.57;223457.1852;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43798523;-71.58937205;8180847.195;223490.9783;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43793029;-71.58938114;8180853.265;223489.9298;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43784518;-71.58952613;8180862.49;223474.3171;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43785459;-71.59012515;8180860.628;223410.3266;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43796402;-71.59011202;8180848.531;223411.8847;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43827922;-71.5899396;8180813.87;223430.754;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43814128;-71.5898059;8180829.324;223444.8443;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43797358;-71.58988059;8180847.789;223436.6257;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43788797;-71.58992076;8180857.212;223432.2126;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43746939;-71.5899428;8180903.525;223429.2646;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5;-16.43749165;-71.59014996;8180900.777;223407.1617;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43795951;-71.59032845;8180848.734;223388.7527;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43832283;-71.59017766;8180808.716;223405.3799;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43850834;-71.59010041;8180788.283;223413.8965;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.4383285;-71.58997638;8180808.363;223426.8939;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43804347;-71.59010313;8180839.747;223412.9469;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43795298;-71.59016112;8180849.686;223406.6223;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43750928;-71.59017535;8180898.791;223404.4731;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-6;-16.43752351;-71.59036167;8180896.96;223384.5859;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-7;-16.4379744;-71.59062406;8180846.681;223357.1888;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43845364;-71.59043912;8180793.876;223377.629;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.438512;-71.59044096;8180787.411;223377.515;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43855961;-71.59046886;8180782.103;223374.6013;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43860644;-71.59051224;8180776.858;223370.0321;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43873955;-71.59033133;8180762.369;223389.5508;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.4385242;-71.59018134;8180786.416;223405.2717;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.4384603;-71.59017636;8180793.497;223405.7129;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43838648;-71.59019356;8180801.646;223403.7712;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43830971;-71.59022958;8180810.097;223399.8133;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43811905;-71.59032364;8180831.078;223389.4928;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43794507;-71.59039844;8180850.238;223381.2539;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43780687;-71.59040275;8180865.532;223380.598;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.43767977;-71.59039626;8180879.613;223381.1111;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.4375337;-71.59038767;8180895.797;223381.822;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-7;-16.4375584;-71.5906495;8180892.703;223353.8806;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43792589;-71.59085374;8180851.737;223332.5791;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43803364;-71.59086568;8180839.792;223331.4568;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43826651;-71.59077427;8180814.135;223341.5534;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43835013;-71.59073717;8180804.928;223345.6364;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.4384751;-71.59071625;8180791.12;223348.0488;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43858486;-71.59053885;8180779.211;223367.1593;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43851709;-71.59048763;8180786.784;223372.5354;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43846965;-71.59046824;8180792.063;223374.5402;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43842172;-71.59048443;8180797.348;223372.7421;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43828403;-71.59053059;8180812.528;223367.6149;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43810864;-71.5906158;8180831.83;223358.2617;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43796453;-71.59066479;8180847.718;223352.823;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43778355;-71.59068276;8180867.731;223350.6468;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43755662;-71.59069406;8180892.84;223349.1178;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-8;-16.43757505;-71.59088696;8180890.536;223328.5325;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43631968;-71.59062373;8181029.884;223354.8783;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43646431;-71.59075953;8181013.685;223340.5738;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43658675;-71.59082783;8181000.036;223333.4493;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43674675;-71.590926;8180982.187;223323.1867;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43680292;-71.59093805;8180975.952;223321.9793;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43754149;-71.59089208;8180894.244;223327.9378;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43752123;-71.59068466;8180896.771;223350.0713;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43691221;-71.59073729;8180964.127;223343.5852;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-9;-16.43682983;-71.59072828;8180973.259;223344.4307;False; ; ;0; ; ; ; ; ; 
