type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.18.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.18.1-1,-16.439156119851,-71.59098999406479,8180715.34687088,223319.765160613,False, , ,0, , , , , , 
TRACK,1.18.1-1,-16.43861232170629,-71.59055740687681,8180776.14516278,223365.214956339,False, , ,0, , , , , , 
TRACK,1.18.1-1,-16.43852101425206,-71.59073228862738,8180786.0149808,223346.399857157,False, , ,0, , , , , , 
TRACK,1.18.1-1,-16.439088535796,-71.59118981252013,8180722.5559923,223298.319304937,False, , ,0, , , , , , 
TRACK,1.18.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.18.1-2,-16.4392116884804,-71.59074951785384,8180709.52364256,223345.538125589,False, , ,0, , , , , , 
TRACK,1.18.1-2,-16.43874662828437,-71.59036868541485,8180761.53363074,223385.569722632,False, , ,0, , , , , , 
TRACK,1.18.1-2,-16.43862918876066,-71.59053743406879,8180774.30505658,223367.372908378,False, , ,0, , , , , , 
TRACK,1.18.1-2,-16.43916056903845,-71.59094993814179,8180714.90908955,223324.051328015,False, , ,0, , , , , , 
TRACK,1.18.1-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.18.1-3,-16.43921658947506,-71.59065522944005,8180709.11003371,223355.61951249,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.43925784107958,-71.5905843915174,8180704.63979214,223363.246814798,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.4392984565014,-71.59042245189505,8180700.36461549,223380.607153848,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.43892174197679,-71.59009337054633,8180742.5225863,223415.234559921,False, , ,0, , , , , , 
TRACK,1.18.1-3,-16.43880533409977,-71.59029258561591,8180755.13813834,223393.78399099,False, , ,0, , , , , , 
TRACK,1.18.1-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.18.1-4,-16.43827313431122,-71.58985738658676,8180814.6556944,223439.529578115,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43877223507938,-71.59027064175483,8180758.83270163,223396.081716576,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43889810077845,-71.59008100321884,8180745.15692889,223416.522466332,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43853204361218,-71.58977706781468,8180786.10050432,223448.47834505,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43842044113568,-71.58969409898614,8180798.56999538,223457.185194646,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43798523055489,-71.58937205316876,8180847.1945395,223490.978309704,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43793028892333,-71.58938113769125,8180853.26495586,223489.929804867,False, , ,0, , , , , , 
TRACK,1.18.1-4,-16.43784517609135,-71.58952613037926,8180862.48992036,223474.317074685,False, , ,0, , , , , , 
TRACK,1.18.1-5, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.18.1-5,-16.43785459057016,-71.5901251491394,8180860.62837578,223410.326618118,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43796401864825,-71.59011201827715,8180848.5310487,223411.884710064,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43827921509476,-71.58993959940882,8180813.870022,223430.753960651,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43814128288435,-71.58980589699601,8180829.32399058,223444.844262503,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43797358420022,-71.58988059154903,8180847.78852703,223436.625675924,False, , ,0, , , , , , 
TRACK,1.18.1-5,-16.43788796867759,-71.58992075835438,8180857.21248055,223432.212615025,False, , ,0, , , , , , 
