type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.23.1.1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42626695;-71.63322833;8182084.138;218788.0905;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42606367;-71.63354002;8182106.212;218754.4918;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42614306;-71.63381254;8182097.044;218725.4851;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42607772;-71.63390447;8182104.15;218715.5673;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42615387;-71.63414119;8182095.39;218690.3822;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42623671;-71.63424383;8182086.075;218679.5336;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.4263589;-71.63426041;8182072.523;218677.9382;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42644887;-71.63419948;8182062.647;218684.578;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42639923;-71.63414486;8182068.219;218690.3436;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42664507;-71.63376759;8182041.525;218731.0113;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42676369;-71.63384725;8182028.28;218722.6698;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.42689993;-71.6335402;8182013.624;218755.6769;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.1;-16.4265189;-71.63308098;8182056.448;218804.1985;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.2;-16.42643329;-71.63449829;8182063.956;218652.6254;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.2;-16.42655086;-71.63442348;8182051.044;218660.7891;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.2;-16.42649073;-71.63423252;8182057.967;218681.1081;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.2;-16.42633489;-71.63430348;8182075.122;218673.3011;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.2;-16.42622235;-71.63432045;8182087.559;218671.3256;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.2;-16.42625324;-71.63448624;8182083.908;218653.6539;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.3;-16.42665782;-71.63462394;8182038.922;218639.5231;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.4265966;-71.63444068;8182045.955;218659.017;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.42645047;-71.63452218;8182062.021;218650.0973;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.42643098;-71.63451997;8182064.182;218650.3054;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.42634998;-71.63451513;8182073.157;218650.7063;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.42624878;-71.63451;8182084.369;218651.109;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.4262824;-71.63476834;8182080.288;218623.5517;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.3;-16.42652757;-71.63475499;8182053.162;218625.3311;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42602362;-71.63473072;8182108.991;218627.1984;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42606185;-71.63474817;8182104.735;218625.3889;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42608188;-71.63485182;8182102.372;218614.3419;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.4262776;-71.63482897;8182080.734;218617.0662;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42627309;-71.63477055;8182081.315;218623.302;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42623659;-71.63454714;8182085.667;218647.1221;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42620981;-71.63432602;8182088.939;218670.7118;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42599743;-71.63432895;8182112.449;218670.0931;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42580177;-71.63435734;8182134.073;218666.7775;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.42588522;-71.63456212;8182124.549;218645.0153;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.4;-16.4260039;-71.63456835;8182111.401;218644.5207;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.5;-16.4259739;-71.63429007;8182115.109;218674.2139;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42616007;-71.63426806;8182094.527;218676.8339;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42614796;-71.63418185;8182095.988;218686.0287;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42608556;-71.63400098;8182103.148;218705.2667;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42589724;-71.6340788;8182123.89;218696.6794;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42583685;-71.6340064;8182130.677;218704.329;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42570102;-71.63410644;8182145.577;218693.4432;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42557674;-71.63416616;8182159.254;218686.8827;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42564343;-71.63430873;8182151.672;218671.7444;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.4256957;-71.63437778;8182145.788;218664.4408;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.5;-16.42583121;-71.63431818;8182130.868;218671.0041;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42569362;-71.63439763;8182145.991;218662.3162;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42563894;-71.63433567;8182152.132;218668.8589;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42560031;-71.6342658;8182156.506;218676.2696;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42556429;-71.63417805;8182160.616;218685.5946;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42543389;-71.6342351;8182174.974;218679.3095;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42532147;-71.63433075;8182187.287;218668.9274;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.6;-16.42557602;-71.63448547;8182158.889;218652.7608;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42577089;-71.63481598;8182136.854;218617.7241;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42581662;-71.63485982;8182131.731;218613.1057;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42592003;-71.6349334;8182120.179;218605.3918;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42595036;-71.63501539;8182116.706;218596.6738;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42610329;-71.63498391;8182099.818;218600.2588;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42600328;-71.63471958;8182111.258;218628.3596;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42598091;-71.63459068;8182113.915;218642.1012;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42587803;-71.63460199;8182125.289;218640.7453;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42579895;-71.63438355;8182134.349;218663.9724;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42570833;-71.63442979;8182144.318;218658.9007;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42562659;-71.63448297;8182153.294;218653.1011;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.42555867;-71.63455191;8182160.718;218645.6363;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.7;-16.425755;-71.63475454;8182138.699;218624.266;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42556175;-71.63502205;8182159.724;218595.4021;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42578471;-71.63507454;8182134.964;218590.1145;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42594705;-71.63516597;8182116.863;218580.579;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.4259753;-71.635079;8182113.857;218589.913;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42591421;-71.63500811;8182120.72;218597.4005;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42590323;-71.63496126;8182122.001;218602.3904;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42583294;-71.63488681;8182129.886;218610.2447;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42574892;-71.63482536;8182139.274;218616.69;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42574279;-71.63477851;8182140.017;218621.6876;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42560532;-71.63461503;8182155.465;218638.9585;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42554345;-71.63456909;8182162.38;218643.7785;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.8;-16.42536156;-71.63491825;8182182.033;218606.2057;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.9; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.9;-16.42556564;-71.63451455;8182159.998;218649.6381;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.9;-16.42548826;-71.6344539;8182168.65;218656.0076;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.9;-16.4252962;-71.63434;8182190.072;218667.9021;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.9;-16.42519599;-71.63450886;8182200.933;218649.7135;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.9;-16.42548639;-71.63463784;8182168.601;218636.3496;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42512372;-71.63507434;8182208.148;218589.184;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42521948;-71.63516535;8182197.42;218579.5968;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42529806;-71.63498717;8182188.967;218598.7494;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42546749;-71.6346666;8182170.654;218633.2496;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42532816;-71.63460346;8182186.168;218639.796;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42518395;-71.63453117;8182202.235;218647.3131;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42510163;-71.63468905;8182211.13;218630.3237;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42507195;-71.63478675;8182214.28;218619.8406;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.10;-16.42506433;-71.6349938;8182214.836;218597.7049;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.11; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.11;-16.42536698;-71.63526825;8182180.946;218568.8131;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.11;-16.42544747;-71.63530892;8182171.978;218564.5836;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.11;-16.42546124;-71.63512294;8182170.711;218584.4764;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.11;-16.42548374;-71.63500864;8182168.379;218596.7233;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.11;-16.4253483;-71.63493491;8182183.477;218604.4064;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.11;-16.42525012;-71.63518602;8182193.999;218577.4316;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.12; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1.12;-16.42560872;-71.63536348;8182154.048;218558.986;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.12;-16.42557639;-71.63505164;8182158.061;218592.2617;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1.12;-16.42549799;-71.63501986;8182166.785;218595.5442;False; ; ;0; ; ; ; ; ; 
