type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.26.1-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.26.1-1;-16.55377628;-71.9750009;8167457.137;182471.12;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.5522596;-71.97466808;8167625.629;182504.1832;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.55067596;-71.97494096;8167800.58;182472.4398;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54989166;-71.97485463;8167887.574;182480.3752;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54782287;-71.97436606;8168117.456;182529.1705;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54611162;-71.9735633;8168308.239;182612.115;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54467008;-71.97367452;8168467.708;182597.8737;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54329128;-71.97399026;8168619.906;182561.8879;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54207826;-71.97271747;8168756.253;182695.8595;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.53585166;-71.96825084;8169452.869;183162.8032;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.5330214;-71.96682869;8169768.549;183310.0984;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.52977128;-71.96551684;8170130.55;183444.9296;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.52471069;-71.96438703;8170692.764;183557.3666;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.5216133;-71.96411174;8171036.216;183581.7235;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.51844022;-71.96156064;8171391.63;183849.0881;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.51645378;-71.96069776;8171612.974;183938.0362;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.5172084;-71.95893167;8171532.177;184127.9411;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.51840098;-71.9596019;8171399.052;184058.2803;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.52158752;-71.96054449;8171044.68;183962.7715;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.5227556;-71.96212137;8170912.843;183796.2164;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.52540303;-71.9629664;8170618.325;183710.2591;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.53009525;-71.96399744;8170097.063;183607.7691;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.53496788;-71.96558598;8169554.943;183446.0276;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.5381097;-71.96781586;8169203.489;183212.9597;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54040631;-71.9696332;8168946.283;183022.5845;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54448659;-71.97190017;8168490.831;182787.1055;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54524199;-71.97160173;8168407.646;182820.2208;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.54790159;-71.97279497;8168111.221;182697.1182;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.55092656;-71.97285642;8167776.121;182695.5098;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.55333073;-71.97365606;8167508.605;182614.0373;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1-1;-16.55394519;-71.97449434;8167439.231;182525.5049;False; ; ;0; ; ; ; ; ; 
TRACK;1.26.1A-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
