type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.29.48-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-1;-16.31112077;-71.61879694;8194852.683;220165.8521;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-1;-16.31009975;-71.61995972;8194964.128;220040.0754;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-1;-16.31057862;-71.62038479;8194910.526;219995.309;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-1;-16.31155884;-71.61918669;8194803.646;220124.8039;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-2;-16.31071651;-71.61835207;8194898.052;220212.8425;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-2;-16.30968514;-71.61955276;8195010.592;220082.9985;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-2;-16.30987575;-71.61972876;8194989.247;220064.4515;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-2;-16.31009121;-71.61993907;8194965.103;220042.2713;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-2;-16.31111772;-71.61873247;8194853.109;220172.7405;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-3;-16.31032757;-71.61798381;8194941.619;220251.6636;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-3;-16.31023552;-71.61792874;8194951.887;220257.42;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-3;-16.30918919;-71.61910944;8195066.111;220129.6919;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-3;-16.30937777;-71.61929963;8195044.971;220109.6253;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-3;-16.30963234;-71.61950406;8195016.504;220088.1302;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-3;-16.31067853;-71.6183116;8194902.312;220217.1148;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-4; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-4;-16.30996208;-71.61766924;8194982.517;220284.7775;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-4;-16.30976704;-71.61751441;8195004.323;220301.0543;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-4;-16.30869743;-71.61866824;8195121.161;220176.1663;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-4;-16.30913568;-71.61907769;8195072.078;220133.0105;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-4;-16.31019216;-71.61791122;8194956.711;220259.232;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-5; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-5;-16.30806936;-71.62027818;8195188.488;220003.1374;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-5;-16.30905972;-71.61912239;8195080.427;220128.1238;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-5;-16.3086336;-71.6187437;8195128.125;220168.0068;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-5;-16.30764851;-71.61990644;8195235.593;220042.2857;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30955738;-71.6195768;8195024.704;220080.246;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30935226;-71.61938807;8195047.673;220100.1329;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30912222;-71.61920402;8195073.395;220119.4843;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30814203;-71.62034549;8195180.349;219996.0441;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30820382;-71.62042492;8195173.399;219987.6393;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.3083128;-71.62058862;8195161.108;219970.291;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30850882;-71.62071362;8195139.234;219957.2044;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-6;-16.30901201;-71.62018087;8195084.255;220014.8832;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-7; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-7;-16.30949462;-71.6205679;8195030.291;219974.1885;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-7;-16.3100428;-71.620025;8194970.344;220033.015;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-7;-16.30960982;-71.61961986;8195018.839;220075.7167;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-7;-16.30902569;-71.62026515;8195082.624;220005.8905;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-8; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-8;-16.30859686;-71.62163878;8195128.214;219858.4114;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-8;-16.30901402;-71.62113879;8195082.715;219912.4643;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-8;-16.30869019;-71.62085745;8195118.956;219942.0848;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-8;-16.30824101;-71.62134736;8195168.013;219889.064;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-9; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-9;-16.30862353;-71.62179577;8195125.046;219841.6641;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-9;-16.30898479;-71.62217137;8195084.532;219802.0185;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-9;-16.30983925;-71.6212519;8194991.194;219901.5453;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-9;-16.30950856;-71.62089977;8195028.291;219938.7243;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-9;-16.30938982;-71.62088065;8195041.464;219940.5997;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-10; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-10;-16.30997195;-71.62034883;8194977.744;219998.2902;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-10;-16.30984681;-71.62035639;8194991.588;219997.3038;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-10;-16.30950839;-71.62074978;8195028.516;219954.7608;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-10;-16.3098787;-71.62114119;8194986.979;219913.4385;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-10;-16.31031953;-71.62063473;8194938.868;219968.2169;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-11; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-11;-16.31042966;-71.62067624;8194926.618;219963.9355;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-11;-16.31027286;-71.62086122;8194943.724;219943.934;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-11;-16.3105622;-71.62113288;8194911.315;219915.3005;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-11;-16.31071957;-71.62096511;8194894.124;219933.4623;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-12; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-12;-16.31031757;-71.62154889;8194937.828;219870.472;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-12;-16.31059653;-71.62123212;8194907.379;219904.7382;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-12;-16.31021706;-71.62087112;8194949.888;219942.7955;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-12;-16.30995079;-71.62117735;8194978.947;219909.675;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-13; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-13;-16.30983228;-71.62204077;8194990.881;219817.1894;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-13;-16.31024862;-71.6216007;8194945.391;219864.8341;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-13;-16.30990785;-71.62128495;8194983.554;219898.1095;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-13;-16.30951084;-71.62176257;8195026.852;219846.4773;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-14; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.29.48-14;-16.30946873;-71.62180259;8195031.46;219842.1375;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-14;-16.30908249;-71.62224929;8195073.608;219793.8262;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-14;-16.3094132;-71.62255033;8195036.579;219762.1105;False; ; ;0; ; ; ; ; ; 
TRACK;1.29.48-14;-16.30981496;-71.62211206;8194992.701;219809.5418;False; ; ;0; ; ; ; ; ; 
