type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.29.48-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-1,-16.31112077049979,-71.61879693809641,8194852.68302706,220165.852146522,False, , ,0, , , , , , 
TRACK,1.29.48-1,-16.31009975412903,-71.61995972293792,8194964.12822858,220040.075426672,False, , ,0, , , , , , 
TRACK,1.29.48-1,-16.31057862474726,-71.62038478797402,8194910.52559217,219995.309023991,False, , ,0, , , , , , 
TRACK,1.29.48-1,-16.31155884312162,-71.61918668508416,8194803.64615284,220124.803885553,False, , ,0, , , , , , 
TRACK,1.29.48-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-2,-16.31071650835057,-71.61835206745708,8194898.05214282,220212.842460033,False, , ,0, , , , , , 
TRACK,1.29.48-2,-16.30968513842641,-71.61955275556166,8195010.59184563,220082.998460789,False, , ,0, , , , , , 
TRACK,1.29.48-2,-16.30987574799503,-71.61972875783202,8194989.24657044,220064.451473841,False, , ,0, , , , , , 
TRACK,1.29.48-2,-16.31009120530579,-71.61993907168107,8194965.10309307,220042.271290942,False, , ,0, , , , , , 
TRACK,1.29.48-2,-16.31111772491404,-71.61873247170186,8194853.10876319,220172.740504982,False, , ,0, , , , , , 
TRACK,1.29.48-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-3,-16.31032757182131,-71.61798380758671,8194941.61915645,220251.663573146,False, , ,0, , , , , , 
TRACK,1.29.48-3,-16.31023551763433,-71.61792874438368,8194951.88659297,220257.42002898,False, , ,0, , , , , , 
TRACK,1.29.48-3,-16.3091891850462,-71.61910944453885,8195066.11062492,220129.691866428,False, , ,0, , , , , , 
TRACK,1.29.48-3,-16.30937776546976,-71.61929963089516,8195044.97057931,220109.62533338,False, , ,0, , , , , , 
TRACK,1.29.48-3,-16.3096323388547,-71.61950405715861,8195016.50448839,220088.130183937,False, , ,0, , , , , , 
TRACK,1.29.48-3,-16.31067853066984,-71.61831160403715,8194902.31243085,220217.114778517,False, , ,0, , , , , , 
TRACK,1.29.48-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-4,-16.3099620752515,-71.6176692394904,8194982.51719992,220284.777458803,False, , ,0, , , , , , 
TRACK,1.29.48-4,-16.30976704027336,-71.61751441242527,8195004.32315094,220301.054285423,False, , ,0, , , , , , 
TRACK,1.29.48-4,-16.30869743378959,-71.61866823965742,8195121.16113274,220176.166304038,False, , ,0, , , , , , 
TRACK,1.29.48-4,-16.30913567635992,-71.61907769463467,8195072.07848436,220133.010470405,False, , ,0, , , , , , 
TRACK,1.29.48-4,-16.31019215667813,-71.6179112204232,8194956.71138742,220259.232036976,False, , ,0, , , , , , 
TRACK,1.29.48-5, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-5,-16.3080693554525,-71.62027817654871,8195188.48782214,220003.137422819,False, , ,0, , , , , , 
TRACK,1.29.48-5,-16.30905972143428,-71.61912238778726,8195080.42650136,220128.123841484,False, , ,0, , , , , , 
TRACK,1.29.48-5,-16.30863359507368,-71.61874370420611,8195128.12544708,220168.006822583,False, , ,0, , , , , , 
TRACK,1.29.48-5,-16.3076485065414,-71.61990643504267,8195235.59316967,220042.285660669,False, , ,0, , , , , , 
TRACK,1.29.48-6, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-6,-16.30955737614678,-71.61957679936222,8195024.70410958,220080.245951081,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.30935225617069,-71.61938807220402,8195047.67337368,220100.132894161,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.30912222048655,-71.61920402291037,8195073.39474778,220119.484284466,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.30814203369448,-71.62034548505054,8195180.34870896,219996.044147015,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.30820381704058,-71.62042491519736,8195173.39917307,219987.639318243,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.3083128001438,-71.62058861930284,8195161.10806636,219970.291020012,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.3085088169255,-71.62071362366653,8195139.23412331,219957.204399576,False, , ,0, , , , , , 
TRACK,1.29.48-6,-16.30901201064625,-71.62018086591353,8195084.25473033,220014.883155185,False, , ,0, , , , , , 
TRACK,1.29.48-7, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-7,-16.30949461537201,-71.62056789585365,8195030.29092226,219974.188538786,False, , ,0, , , , , , 
TRACK,1.29.48-7,-16.31004280499543,-71.62002499961031,8194970.34370381,220033.015031647,False, , ,0, , , , , , 
TRACK,1.29.48-7,-16.30960981931492,-71.61961985838072,8195018.83867184,220075.71668344,False, , ,0, , , , , , 
TRACK,1.29.48-7,-16.3090256898377,-71.62026515422024,8195082.62440998,220005.890481892,False, , ,0, , , , , , 
TRACK,1.29.48-8, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-8,-16.30859686205363,-71.62163877977888,8195128.21447176,219858.411386817,False, , ,0, , , , , , 
TRACK,1.29.48-8,-16.30901402279837,-71.62113879077077,8195082.71547792,219912.46430815,False, , ,0, , , , , , 
TRACK,1.29.48-8,-16.30869018609072,-71.62085744759814,8195118.95602582,219942.084762829,False, , ,0, , , , , , 
TRACK,1.29.48-8,-16.30824101375491,-71.62134735693842,8195168.01314221,219889.064000505,False, , ,0, , , , , , 
TRACK,1.29.48-9, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-9,-16.30862352722145,-71.62179576786289,8195125.04638287,219841.664072552,False, , ,0, , , , , , 
TRACK,1.29.48-9,-16.30898478927364,-71.62217137344882,8195084.53247636,219802.018453826,False, , ,0, , , , , , 
TRACK,1.29.48-9,-16.30983925419121,-71.62125190018189,8194991.19379741,219901.545268449,False, , ,0, , , , , , 
TRACK,1.29.48-9,-16.30950856225928,-71.62089977020767,8195028.29066145,219938.724334832,False, , ,0, , , , , , 
TRACK,1.29.48-9,-16.30938982076512,-71.62088064930839,8195041.46350555,219940.599746483,False, , ,0, , , , , , 
TRACK,1.29.48-10, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-10,-16.30997194834619,-71.62034883089768,8194977.74366863,219998.290224184,False, , ,0, , , , , , 
TRACK,1.29.48-10,-16.30984680985452,-71.62035639110761,8194991.588087,219997.303816261,False, , ,0, , , , , , 
TRACK,1.29.48-10,-16.30950838557387,-71.62074978218386,8195028.51637033,219954.760824428,False, , ,0, , , , , , 
TRACK,1.29.48-10,-16.30987870049042,-71.62114119000778,8194986.97865372,219913.438547758,False, , ,0, , , , , , 
TRACK,1.29.48-10,-16.31031952786705,-71.62063472727247,8194938.86821502,219968.21688515,False, , ,0, , , , , , 
TRACK,1.29.48-11, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-11,-16.31042966139885,-71.62067623665099,8194926.61764007,219963.935458216,False, , ,0, , , , , , 
TRACK,1.29.48-11,-16.31027286012031,-71.62086121958981,8194943.72377275,219943.933973065,False, , ,0, , , , , , 
TRACK,1.29.48-11,-16.31056220499839,-71.62113287548225,8194911.31529594,219915.300466754,False, , ,0, , , , , , 
TRACK,1.29.48-11,-16.31071956566544,-71.6209651059924,8194894.12359564,219933.462296428,False, , ,0, , , , , , 
TRACK,1.29.48-12, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-12,-16.31031757247114,-71.62154889086838,8194937.82807681,219870.471984511,False, , ,0, , , , , , 
TRACK,1.29.48-12,-16.31059652899355,-71.62123211989007,8194907.37865473,219904.738155992,False, , ,0, , , , , , 
TRACK,1.29.48-12,-16.31021706340988,-71.62087112441715,8194949.88773805,219942.79553596,False, , ,0, , , , , , 
TRACK,1.29.48-12,-16.3099507912792,-71.62117734988537,8194978.94735389,219909.674951923,False, , ,0, , , , , , 
TRACK,1.29.48-13, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-13,-16.3098322795584,-71.62204076966459,8194990.88139931,219817.189394005,False, , ,0, , , , , , 
TRACK,1.29.48-13,-16.31024861528597,-71.62160070310401,8194945.39149756,219864.83405824,False, , ,0, , , , , , 
TRACK,1.29.48-13,-16.30990784937618,-71.62128494787045,8194983.55379212,219898.10945478,False, , ,0, , , , , , 
TRACK,1.29.48-13,-16.30951083974787,-71.62176256568671,8195026.85243134,219846.477329159,False, , ,0, , , , , , 
TRACK,1.29.48-14, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-14,-16.30946873025395,-71.62180259415855,8195031.45958566,219842.137523229,False, , ,0, , , , , , 
TRACK,1.29.48-14,-16.30908249056717,-71.62224929492275,8195073.60823592,219793.826170446,False, , ,0, , , , , , 
TRACK,1.29.48-14,-16.30941320257742,-71.6225503286216,8195036.57915244,219762.11047788,False, , ,0, , , , , , 
TRACK,1.29.48-14,-16.30981496167948,-71.62211206485529,8194992.70072589,219809.541848405,False, , ,0, , , , , , 
TRACK,1.29.48-15, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-15,-16.30909360889664,-71.62233224164109,8195072.26319445,219784.973299857,False, , ,0, , , , , , 
TRACK,1.29.48-15,-16.30856368002458,-71.62178976251286,8195131.68067523,219842.220966499,False, , ,0, , , , , , 
TRACK,1.29.48-15,-16.30803594441462,-71.62237774617111,8195189.3009301,219778.601839362,False, , ,0, , , , , , 
TRACK,1.29.48-15,-16.30883203889185,-71.62317426713719,8195100.06505152,219694.570911785,False, , ,0, , , , , , 
TRACK,1.29.48-15,-16.30939392373592,-71.6226005780311,8195038.64451801,219756.710338393,False, , ,0, , , , , , 
TRACK,1.29.48-16, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-16,-16.30808674062728,-71.62125479157797,8195185.22086083,219898.741586856,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30845573895471,-71.6208508179438,8195144.92214479,219942.459955939,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30760036390773,-71.61995261223677,8195240.85987848,220037.27985789,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30733420923472,-71.62024929836754,8195269.91978052,220005.179175504,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30774549339405,-71.62061744291779,8195223.87827698,219966.401912362,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30709823570682,-71.62142185822937,8195294.43438215,219879.471644955,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30806777755175,-71.62229745708089,8195185.88690106,219787.231760635,False, , ,0, , , , , , 
TRACK,1.29.48-16,-16.30855754277022,-71.62170743967792,8195132.47334736,219851.014246627,False, , ,0, , , , , , 
TRACK,1.29.48-17, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-17,-16.30632271262276,-71.62137678196362,8195380.3590357,219883.187481708,False, , ,0, , , , , , 
TRACK,1.29.48-17,-16.30783430912723,-71.62254956059989,8195211.38889639,219759.944124808,False, , ,0, , , , , , 
TRACK,1.29.48-17,-16.30803468206749,-71.62232730684012,8195189.51005199,219783.993068455,False, , ,0, , , , , , 
TRACK,1.29.48-17,-16.30665287563156,-71.62106180713039,8195344.23766614,219917.335042658,False, , ,0, , , , , , 
TRACK,1.29.48-18, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-18,-16.30733347834695,-71.62028100031982,8195269.95714393,220001.788522088,False, , ,0, , , , , , 
TRACK,1.29.48-18,-16.30668295486526,-71.62103278979166,8195340.94729842,219920.480431663,False, , ,0, , , , , , 
TRACK,1.29.48-18,-16.30708293433717,-71.62140614230309,8195296.15008868,219881.13023651,False, , ,0, , , , , , 
TRACK,1.29.48-18,-16.30770744627347,-71.62062254237573,8195228.0836867,219965.802533472,False, , ,0, , , , , , 
TRACK,1.29.48-parque, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.29.48-parque,-16.31109086453897,-71.62055114009071,8194853.58392429,219978.251741984,False, , ,0, , , , , , 
TRACK,1.29.48-parque,-16.31129016705027,-71.61981581630209,8194832.52847927,220057.155568404,False, , ,0, , , , , , 
