"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.10.10.108A",1,10,"10","108A",-16.3968020600561,-71.5027490943945
"1.10.10.119A",1,10,"10","119A",-16.3969868425977,-71.5038762353286
"1.10.10.121A",1,10,"10","121A",-16.3970241838487,-71.5043110861028
"1.10.10.122A",1,10,"10","122A",-16.3970222545844,-71.5043850702808
"1.10.10.124A",1,10,"10","124A",-16.396979730044,-71.5046304493593
"1.10.10.125A",1,10,"10","125A",-16.3969502266679,-71.5047176464434
"1.10.10.130A",1,10,"10","130A",-16.3967868568167,-71.5042774194839
"1.10.10.135A",1,10,"10","135A",-16.3969278303501,-71.5050858405262
"1.10.10.143A",1,10,"10","143A",-16.3966793855855,-71.5050882265222
"1.10.10.5A",1,10,"10","5A",-16.3962535215053,-71.5056267753238
"1.10.10.86A",1,10,"10","86A",-16.3959163851947,-71.5029854309235
"1.10.11.103A",1,10,"11","103A",-16.3981529588544,-71.4993048765198
"1.10.11.104A",1,10,"11","104A",-16.3981267079624,-71.4992089079652
"1.10.11.106A",1,10,"11","106A",-16.3980794455828,-71.4989985039223
"1.10.11.106B",1,10,"11","106B",-16.3980794455828,-71.4989985039223
"1.10.11.119A",1,10,"11","119A",-16.3974248383735,-71.4988245382517
"1.10.11.123A",1,10,"11","123A",-16.3971421300018,-71.498686697012
"1.10.11.29A",1,10,"11","29A",-16.399913374408,-71.5018352185051
"1.10.11.4A",1,10,"11","4A",-16.3995605754666,-71.5027281432993
"1.10.11.58A",1,10,"11","58A",-16.3987094718846,-71.5013383797296
"1.10.11.65A",1,10,"11","65A",-16.3987053163097,-71.5010895412126
"1.10.11.66A",1,10,"11","66A",-16.3987785848829,-71.5011482295369
"1.10.11.67A",1,10,"11","67A",-16.3985532675124,-71.5007606270147
"1.10.11.98C",1,10,"11","98C",-16.3982979795307,-71.4997821443219
"1.10.11.98B",1,10,"11","98B",-16.3982979795307,-71.4997821443219
"1.10.11.98A",1,10,"11","98A",-16.3982979795307,-71.4997821443219
"1.10.12.36A",1,10,"12","36A",-16.3951635162229,-71.5023632189943
"1.10.12.55A",1,10,"12","55A",-16.3953109873943,-71.5014110816932
"1.10.13.225A",1,10,"13","225A",-16.3977446405858,-71.5019564875171
"1.10.13.279A",1,10,"13","279A",-16.3983731793011,-71.5021936702935
"1.10.13.37D",1,10,"13","37D",-16.3969751252852,-71.5021910401216
"1.10.13.37B",1,10,"13","37B",-16.3969751252852,-71.5021910401216
"1.10.13.75A",1,10,"13","75A",-16.3973733143021,-71.501419514492
"1.10.13A.1A",1,10,"13A","1A",-16.3961889875017,-71.4994185561353
"1.10.13A.144A",1,10,"13A","144A",-16.394961556001,-71.4971841512844
"1.10.13A.19A",1,10,"13A","19A",-16.3949056421243,-71.4994925814683
"1.10.13A.4A",1,10,"13A","4A",-16.3959642817336,-71.4996567417278
"1.10.14A.1A",1,10,"14A","1A",-16.395091277055,-71.4966097952372
"1.10.14A.32A",1,10,"14A","32A",-16.3968048853474,-71.496658575373
"1.10.14A.39A",1,10,"14A","39A",-16.3966915502506,-71.4968575463398
"1.10.15.113A",1,10,"15","113A",-16.3992949375868,-71.4959626144995
"1.10.15.130A",1,10,"15","130A",-16.3998184441248,-71.4962971463443
"1.10.15.15A",1,10,"15","15A",-16.3985113703957,-71.4977099415471
"1.10.15.16A",1,10,"15","16A",-16.3986003132632,-71.4976577701885
"1.10.15.162A",1,10,"15","162A",-16.4002646448056,-71.4950186206244
"1.10.15.162B",1,10,"15","162B",-16.4002646448056,-71.4950186206244
"1.10.15.163B",1,10,"15","163B",-16.4002586746718,-71.4951651731709
"1.10.15.163A",1,10,"15","163A",-16.4002586746718,-71.4951651731709
"1.10.15.173A",1,10,"15","173A",-16.3997867431113,-71.4953669265138
"1.10.15.174A",1,10,"15","174A",-16.3997503680514,-71.4951248266954
"1.10.15.174B",1,10,"15","174B",-16.3997503680514,-71.4951248266954
"1.10.15.178A",1,10,"15","178A",-16.3993620400117,-71.4954835448389
"1.10.15.184A",1,10,"15","184A",-16.3995134582063,-71.494985331992
"1.10.15.19A",1,10,"15","19A",-16.3988703439067,-71.4974734298717
"1.10.15.194A",1,10,"15","194A",-16.3990121771104,-71.4951550545033
"1.10.15.194B",1,10,"15","194B",-16.3990121771104,-71.4951550545033
"1.10.15.197A",1,10,"15","197A",-16.3988678819377,-71.4950155712352
"1.10.15.20A",1,10,"15","20A",-16.3989712301074,-71.4974130015356
"1.10.15.24A",1,10,"15","24A",-16.3991809790413,-71.4970633678285
"1.10.15.269A",1,10,"15","269A",-16.3977212517278,-71.4965403608377
"1.10.15.27A",1,10,"15","27A",-16.3993310102849,-71.4968033276467
"1.10.15.33A",1,10,"15","33A",-16.3997398085315,-71.4965783018041
"1.10.15.35A",1,10,"15","35A",-16.3997491045684,-71.4964211764645
"1.10.15.38C",1,10,"15","38C",-16.3980721881047,-71.4974726623124
"1.10.15.38B",1,10,"15","38B",-16.3980721881047,-71.4974726623124
"1.10.15.38A",1,10,"15","38A",-16.3980721881047,-71.4974726623124
"1.10.15.94A",1,10,"15","94A",-16.3984101020281,-71.4965693594786
"1.10.16.102A",1,10,"16","102A",-16.3963706732368,-71.4926463615796
"1.10.16.117A",1,10,"16","117A",-16.3959553470267,-71.492309821821
"1.10.16.120G",1,10,"16","120G",-16.3957652761971,-71.4924196278143
"1.10.16.120B",1,10,"16","120B",-16.3957652761971,-71.4924196278143
"1.10.16.120J",1,10,"16","120J",-16.3957652761971,-71.4924196278143
"1.10.16.120C",1,10,"16","120C",-16.3957652761971,-71.4924196278143
"1.10.16.120D",1,10,"16","120D",-16.3957652761971,-71.4924196278143
"1.10.16.120A",1,10,"16","120A",-16.3957652761971,-71.4924196278143
"1.10.16.120F",1,10,"16","120F",-16.3957652761971,-71.4924196278143
"1.10.16.120I",1,10,"16","120I",-16.3957652761971,-71.4924196278143
"1.10.16.120E",1,10,"16","120E",-16.3957652761971,-71.4924196278143
"1.10.16.126A",1,10,"16","126A",-16.3956637178242,-71.4928435299261
"1.10.16.128A",1,10,"16","128A",-16.3959389074698,-71.4929948951136
"1.10.16.132A",1,10,"16","132A",-16.3960467950023,-71.4932630740535
"1.10.16.45A",1,10,"16","45A",-16.3969962127914,-71.4932343041221
"1.10.16.57A",1,10,"16","57A",-16.3974121717158,-71.4939073676035
"1.10.16.69A",1,10,"16","69A",-16.3971349107596,-71.4938321913011
"1.10.2.1015A",1,10,"2","1015A",-16.398730862557,-71.5104855767568
