"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.13.11.29A",1,13,"11","29A",-16.4360884614813,-71.4855578455254
"1.13.11.43A",1,13,"11","43A",-16.4358801957267,-71.4846577165147
"1.13.12.70A",1,13,"12","70A",-16.4317719052086,-71.4815790008302
"1.13.12.96A",1,13,"12","96A",-16.4316109565573,-71.4831235903404
"1.13.2.117A",1,13,"2","117A",-16.4304835873707,-71.4968388801985
"1.13.2.118A",1,13,"2","118A",-16.430389935209,-71.4965786241428
"1.13.2.127A",1,13,"2","127A",-16.4313321001036,-71.4983678309445
"1.13.2.25A",1,13,"2","25A",-16.4309925287993,-71.5001700042268
"1.13.2.70A",1,13,"2","70A",-16.4312140951914,-71.4995105552552
"1.13.2.72A",1,13,"2","72A",-16.4312429894532,-71.4993826595427
"1.13.24.81A",1,13,"24","81A",-16.4301111040107,-71.4811332173238
"1.13.3.26B",1,13,"3","26B",-16.4321985694291,-71.4979738976253
"1.13.3.26A",1,13,"3","26A",-16.4321985694291,-71.4979738976253
"1.13.3.43B",1,13,"3","43B",-16.4329396402349,-71.4968435633225
"1.13.3.43A",1,13,"3","43A",-16.4329396402349,-71.4968435633225
"1.13.3.57A",1,13,"3","57A",-16.4321825137783,-71.497677659178
"1.13.36.52A",1,13,"36","52A",-16.4183007887925,-71.4718339712344
"1.13.4.14A",1,13,"4","14A",-16.4288279373353,-71.4909288310375
"1.13.4.20A",1,13,"4","20A",-16.4281621834819,-71.4908509441416
"1.13.4.35A",1,13,"4","35A",-16.4288938234846,-71.4913696894045
"1.13.4.35B",1,13,"4","35B",-16.4288938234846,-71.4913696894045
"1.13.46.167A",1,13,"46","167A",-16.4140278223388,-71.4785401136952
"1.13.46.225A",1,13,"46","225A",-16.4137105409674,-71.4795943768397
"1.13.46.23A",1,13,"46","23A",-16.4152732594173,-71.4773041252188
"1.13.46.380A",1,13,"46","380A",-16.4154897114702,-71.4816851845541
"1.13.46.417A",1,13,"46","417A",-16.4147097296433,-71.4815896310616
"1.13.46.499A",1,13,"46","499A",-16.4142540973266,-71.4835303667267
"1.13.46.537A",1,13,"46","537A",-16.4152147333917,-71.4824368406575
"1.13.46.664A",1,13,"46","664A",-16.414361212818,-71.4845372957266
"1.13.46.84A",1,13,"46","84A",-16.4161382851042,-71.4788756649426
"1.13.46.96A",1,13,"46","96A",-16.4161893722968,-71.4796839755816
"1.13.48.134A",1,13,"48","134A",-16.4218393228837,-71.4874698830512
"1.13.48.150C",1,13,"48","150C",-16.422513192538,-71.4880624912919
"1.13.48.150A",1,13,"48","150A",-16.422513192538,-71.4880624912919
"1.13.48.150B",1,13,"48","150B",-16.422513192538,-71.4880624912919
