"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.1.1.204A",1,1,"1","204A",-16.38827405,-71.52367621
"1.1.1.211A",1,1,"1","211A",-16.38787278,-71.52317328
"1.1.1.213A",1,1,"1","213A",-16.38776663,-71.52306581
"1.1.1.222A",1,1,"1","222A",-16.38778874,-71.52277024
"1.1.1.233A",1,1,"1","233A",-16.38865538,-71.52366626
"1.1.1.326A",1,1,"1","326A",-16.38613211,-71.5203868
"1.1.1.352A",1,1,"1","352A",-16.38699399,-71.52087575
"1.1.1.355A",1,1,"1","355A",-16.38718946,-71.52102
"1.1.1.363A",1,1,"1","363A",-16.38745049,-71.52169323
"1.1.1.363B",1,1,"1","363B",-16.38745049,-71.52169323
"1.1.1.373A",1,1,"1","373A",-16.38671515,-71.52101824
"1.1.1.375A",1,1,"1","375A",-16.38652429,-71.52096428
"1.1.1.376A",1,1,"1","376A",-16.38644471,-71.52093267
"1.1.1.376B",1,1,"1","376B",-16.38644471,-71.52093267
"1.1.1.377A",1,1,"1","377A",-16.38634507,-71.52090441
"1.1.1.382A",1,1,"1","382A",-16.38663291,-71.52131046
"1.1.1.388A",1,1,"1","388A",-16.38668765,-71.52191551
"1.1.1.389A",1,1,"1","389A",-16.38662332,-71.52198466
"1.1.1.404A",1,1,"1","404A",-16.38648864,-71.52144252
"1.1.1.404B",1,1,"1","404B",-16.38648864,-71.52144252
"1.1.1.413A",1,1,"1","413A",-16.38568441,-71.52123139
"1.1.1.417A",1,1,"1","417A",-16.38531797,-71.52083161
"1.1.1.419A",1,1,"1","419A",-16.38562845,-71.52095204
"1.1.1.422A",1,1,"1","422A",-16.38587629,-71.52100143
"1.1.1.424A",1,1,"1","424A",-16.38599472,-71.52108566
"1.1.10.225A",1,1,"10","225A",-16.3786071,-71.52064172
"1.1.10.231A",1,1,"10","231A",-16.37879287,-71.52102561
"1.1.10.375A",1,1,"10","375A",-16.3776305,-71.5211281
"1.1.10.414A",1,1,"10","414A",-16.37794244,-71.52005214
"1.1.10.423A",1,1,"10","423A",-16.37829186,-71.52068684
"1.1.13.76A",1,1,"13","76A",-16.37781586,-71.52563387
"1.1.13.8A",1,1,"13","8A",-16.37712912,-71.52617161
"1.1.13.91A",1,1,"13","91A",-16.37751854,-71.52521155
"1.1.14.11A",1,1,"14","11A",-16.37949372,-71.52588687
"1.1.14.164A",1,1,"14","164A",-16.37635503,-71.52396294
"1.1.14.20A",1,1,"14","20A",-16.37978875,-71.5257816
"1.1.14.20B",1,1,"14","20B",-16.37978875,-71.5257816
"1.1.14.20C",1,1,"14","20C",-16.37978875,-71.5257816
"1.1.14.216A",1,1,"14","216A",-16.37724142,-71.52408352
"1.1.14.217A",1,1,"14","217A",-16.37741682,-71.52375784
"1.1.14.234A",1,1,"14","234A",-16.37786572,-71.5240397
"1.1.15.47A",1,1,"15","47A",-16.37840339,-71.52597037
"1.1.2.150A",1,1,"2","150A",-16.38115615,-71.51416944
"1.1.2.164A",1,1,"2","164A",-16.38105931,-71.51433416
"1.1.2.175A",1,1,"2","175A",-16.38120872,-71.51518172
"1.1.2.181A",1,1,"2","181A",-16.38086614,-71.51470162
"1.1.2.184A",1,1,"2","184A",-16.38068789,-71.51447268
"1.1.2.184B",1,1,"2","184B",-16.38068789,-71.51447268
"1.1.2.2A",1,1,"2","2A",-16.38290702,-71.51753973
"1.1.2.287A",1,1,"2","287A",-16.38143616,-71.51601961
"1.1.2.298A",1,1,"2","298A",-16.38098567,-71.5157071
"1.1.2.6A",1,1,"2","6A",-16.38267908,-71.51720487
"1.1.2.76A",1,1,"2","76A",-16.38257448,-71.51598263
"1.1.2.90A",1,1,"2","90A",-16.38260738,-71.51671535
"1.1.22.11A",1,1,"22","11A",-16.3780781,-71.53144128
"1.1.22.14A",1,1,"22","14A",-16.37758929,-71.53152418
"1.1.22.14B",1,1,"22","14B",-16.37758929,-71.53152418
"1.1.22.14C",1,1,"22","14C",-16.37758929,-71.53152418
"1.1.22.15A",1,1,"22","15A",-16.37757295,-71.53143755
"1.1.22.15B",1,1,"22","15B",-16.37757295,-71.53143755
"1.1.22.160A",1,1,"22","160A",-16.37723849,-71.52937417
"1.1.22.176A",1,1,"22","176A",-16.37695654,-71.52954927
"1.1.22.55A",1,1,"22","55A",-16.37661784,-71.53016048
"1.1.22.55B",1,1,"22","55B",-16.37661784,-71.53016048
"1.1.22.56A",1,1,"22","56A",-16.37668638,-71.53014853
"1.1.22.61A",1,1,"22","61A",-16.37703657,-71.53060659
"1.1.22.72A",1,1,"22","72A",-16.37717513,-71.53030739
"1.1.22.76A",1,1,"22","76A",-16.37721273,-71.53057468
"1.1.22.76B",1,1,"22","76B",-16.37721273,-71.53057468
"1.1.22.91A",1,1,"22","91A",-16.37733701,-71.53007199
"1.1.22.93A",1,1,"22","93A",-16.3775174,-71.53012943
"1.1.23.10A",1,1,"23","10A",-16.37852235,-71.53134642
"1.1.23.133A",1,1,"23","133A",-16.37817912,-71.5295159
"1.1.23.20A",1,1,"23","20A",-16.37812425,-71.53010497
"1.1.23.20B",1,1,"23","20B",-16.37812425,-71.53010497
"1.1.23.4A",1,1,"23","4A",-16.37832194,-71.53148066
"1.1.23.57A",1,1,"23","57A",-16.3790922,-71.53017055
"1.1.23.67A",1,1,"23","67A",-16.37859854,-71.52988614
"1.1.23.74A",1,1,"23","74A",-16.37917118,-71.52978392
"1.1.26.117A",1,1,"26","117A",-16.3773491,-71.52832436
"1.1.26.123A",1,1,"26","123A",-16.37713889,-71.52805564
"1.1.26.186A",1,1,"26","186A",-16.3768127,-71.52943746
"1.1.26.55A",1,1,"26","55A",-16.37694484,-71.52661778
"1.1.26.56A",1,1,"26","56A",-16.37699289,-71.52667188
"1.1.26.56B",1,1,"26","56B",-16.37699289,-71.52667188
"1.1.26.6A",1,1,"26","6A",-16.37778477,-71.52785731
"1.1.26.89A",1,1,"26","89A",-16.37751196,-71.5278201
"1.1.29.111A",1,1,"29","111A",-16.3731319,-71.51620864
"1.1.29.112A",1,1,"29","112A",-16.37306506,-71.5161033
"1.1.29.116A",1,1,"29","116A",-16.37333355,-71.51535886
"1.1.29.121A",1,1,"29","121A",-16.37372351,-71.51544517
"1.1.29.13A",1,1,"29","13A",-16.37297115,-71.51742394
"1.1.29.3A",1,1,"29","3A",-16.37237354,-71.51800115
"1.1.29.30A",1,1,"29","30A",-16.37275144,-71.51714176
"1.1.3.353A",1,1,"3","353A",-16.37696071,-71.51635985
"1.1.3.353B",1,1,"3","353B",-16.37696071,-71.51635985
"1.1.3.353C",1,1,"3","353C",-16.37696071,-71.51635985
"1.1.3.361A",1,1,"3","361A",-16.37735624,-71.5161695
"1.1.3.362A",1,1,"3","362A",-16.37740148,-71.51624163
"1.1.3.362B",1,1,"3","362B",-16.37740148,-71.51624163
"1.1.3.371A",1,1,"3","371A",-16.37654208,-71.51580856
"1.1.3.440A",1,1,"3","440A",-16.37546163,-71.51381126
"1.1.3.440B",1,1,"3","440B",-16.37546163,-71.51381126
"1.1.3.441A",1,1,"3","441A",-16.37555502,-71.51374632
"1.1.3.441B",1,1,"3","441B",-16.37555502,-71.51374632
"1.1.3.446A",1,1,"3","446A",-16.37595197,-71.51374505
"1.1.3.466A",1,1,"3","466A",-16.37533398,-71.51299595
"1.1.3.666A",1,1,"3","666A",-16.37253399,-71.51509207
"1.1.3.673A",1,1,"3","673A",-16.37317029,-71.51457709
"1.1.3.673B",1,1,"3","673B",-16.37317029,-71.51457709
"1.1.3.679A",1,1,"3","679A",-16.37288987,-71.51507891
"1.1.3.679B",1,1,"3","679B",-16.37288987,-71.51507891
"1.1.3.683A",1,1,"3","683A",-16.37259497,-71.51535533
"1.1.3.694A",1,1,"3","694A",-16.37381065,-71.51413234
"1.1.3.694B",1,1,"3","694B",-16.37381065,-71.51413234
"1.1.3.694C",1,1,"3","694C",-16.37381065,-71.51413234
"1.1.3.698A",1,1,"3","698A",-16.37408405,-71.51411037
"1.1.3.710A",1,1,"3","710A",-16.37353182,-71.51469639
"1.1.3.710B",1,1,"3","710B",-16.37353182,-71.51469639
"1.1.3.710C",1,1,"3","710C",-16.37353182,-71.51469639
"1.1.3.710D",1,1,"3","710D",-16.37353182,-71.51469639
"1.1.3.759A",1,1,"3","759A",-16.37455908,-71.51407795
"1.1.3.759B",1,1,"3","759B",-16.37455908,-71.51407795
"1.1.3.769A",1,1,"3","769A",-16.37499026,-71.51428752
"1.1.3.769B",1,1,"3","769B",-16.37499026,-71.51428752
"1.1.3.775A",1,1,"3","775A",-16.37479417,-71.51471888
"1.1.3.775B",1,1,"3","775B",-16.37479417,-71.51471888
"1.1.3.775C",1,1,"3","775C",-16.37479417,-71.51471888
"1.1.3.776A",1,1,"3","776A",-16.37473389,-71.51477449
"1.1.3.819A",1,1,"3","819A",-16.37431463,-71.51582962
"1.1.3.825A",1,1,"3","825A",-16.37397806,-71.51531193
"1.1.3.950A",1,1,"3","950A",-16.37611751,-71.51617211
"1.1.34.118A",1,1,"34","118A",-16.37118893,-71.51317594
"1.1.34.122A",1,1,"34","122A",-16.37090552,-71.51340454
"1.1.34.128A",1,1,"34","128A",-16.37045823,-71.51373695
"1.1.34.154A",1,1,"34","154A",-16.37008587,-71.51250888
"1.1.34.162A",1,1,"34","162A",-16.37042744,-71.51231944
"1.1.34.166A",1,1,"34","166A",-16.37063532,-71.51262003
"1.1.34.19A",1,1,"34","19A",-16.37177942,-71.51224656
"1.1.34.192A",1,1,"34","192A",-16.37037389,-71.51117836
"1.1.34.195A",1,1,"34","195A",-16.37052416,-71.51138552
"1.1.34.197A",1,1,"34","197A",-16.37065914,-71.51152582
"1.1.34.203A",1,1,"34","203A",-16.37079102,-71.51129804
"1.1.34.219A",1,1,"34","219A",-16.37097987,-71.51090355
"1.1.34.225A",1,1,"34","225A",-16.3709991,-71.51123503
"1.1.34.23A",1,1,"34","23A",-16.37209279,-71.51206316
