"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.1.1",0,0,116,20,33,0,0,0,0
"1.1.10",0,0,150,23,5,3,1,0,0
"1.1.13",0,0,151,13,21,0,0,1,0
"1.1.14",0,0,244,14,29,2,0,0,0
"1.1.15",0,0,16,1,6,1,0,0,0
"1.1.2",0,0,209,20,40,0,0,0,0
"1.1.21",0,0,54,4,4,0,0,0,0
"1.1.22",0,0,190,31,11,0,0,1,0
"1.1.23",0,0,119,21,2,1,0,0,0
"1.1.25",0,0,64,14,0,1,0,0,0
"1.1.26",3,1,221,15,19,4,0,0,1
"1.1.27",0,0,243,37,14,5,0,2,0
"1.1.28",0,0,14,1,2,0,0,0,0
"1.1.29",0,0,127,11,15,0,0,0,0
"1.1.3",0,0,212,31,17,1,0,0,0
"1.1.34",9,1,701,111,60,0,0,0,3
"1.1.36",0,0,78,7,7,1,0,0,0
"1.1.37",0,0,8,0,1,0,0,0,0
"1.1.38",0,0,19,4,3,0,0,0,0
"1.1.39",0,0,232,21,34,1,0,0,0
"1.1.40",0,0,26,1,4,0,0,0,0
"1.1.42",0,0,156,16,16,0,0,0,0
"1.1.44",0,0,24,5,0,0,44,0,0
"1.1.45",0,0,57,8,3,0,0,0,0
"1.1.6",0,1,239,38,12,0,0,0,1
"1.1.62",0,0,97,2,4,0,0,0,0
"1.1.7",0,0,124,11,16,0,0,0,0
"1.1.70",0,0,63,4,8,0,0,0,0
"1.1.71",0,0,160,11,12,9,1,0,0
"1.1.74",0,0,37,2,2,0,1,0,0
"1.1.76",0,0,6,0,1,0,0,0,0
"1.1.77",0,0,178,13,17,0,0,0,0
"1.1.78",0,0,758,116,142,0,0,0,0
"1.1.79",0,0,93,3,19,0,0,0,0
"1.1.8",0,0,151,7,24,1,0,0,0
"1.1.81",0,0,175,10,18,0,1,0,0
"1.1.82",0,0,103,9,15,0,0,0,0
"1.1.83",0,0,33,1,0,0,0,0,0
"1.1.87",0,0,21,1,3,0,0,0,0
"1.10.10",0,0,131,0,0,0,0,0,0
"1.10.11",0,0,121,0,0,0,0,0,0
"1.10.12",2,22,100,0,0,0,0,0,3
"1.10.13",1,0,270,0,0,0,0,0,1
"1.10.13A",0,0,193,0,0,0,0,0,0
"1.10.14A",0,0,37,0,0,0,0,0,0
"1.10.15",0,0,251,0,0,0,0,0,0
"1.10.16",0,0,106,29,10,5,0,2,0
"1.10.2",1,31,1685,0,0,0,0,0,4
"1.10.28",0,0,45,0,0,0,0,0,0
"1.10.3",0,0,160,30,87,10,0,2,0
"1.10.36",0,0,446,0,0,0,0,0,0
"1.10.37",1,7,1366,0,0,0,0,0,2
"1.10.38",0,5,1228,0,0,0,0,0,1
"1.10.4",0,0,94,0,0,0,0,0,0
"1.10.9",0,4,76,0,0,0,0,0,1
"1.11.1",0,0,310,0,0,0,0,0,0
"1.11.10",0,0,300,8,91,5,0,0,0
"1.11.11",20,43,47,0,0,0,0,0,3
"1.11.12",0,0,167,2,18,3,0,0,0
"1.11.13",0,0,147,1,39,3,1,0,0
"1.11.14",0,21,557,8,202,0,0,0,2
"1.11.16",0,0,331,11,134,1,0,1,0
"1.11.17",0,0,63,0,0,0,0,0,0
"1.11.18",7,56,503,145,205,1,0,1,6
"1.11.19",0,0,58,0,0,0,0,0,0
"1.11.2",0,0,19,0,1,0,0,0,0
"1.11.20",0,0,119,19,19,1,0,1,0
"1.11.21",0,5,148,0,0,0,0,0,1
"1.11.22",0,0,698,184,138,21,2,2,0
"1.11.24",3,0,55,3,8,0,0,0,1
"1.11.25",0,0,130,3,14,0,3,0,0
"1.11.26",0,0,70,3,8,0,0,0,0
"1.11.27",0,0,97,0,0,0,0,0,0
"1.11.28",0,0,16,0,0,0,0,0,0
"1.11.29",0,0,53,3,9,0,0,0,0
"1.11.3",0,0,66,7,11,0,0,0,0
"1.11.30",0,0,40,0,0,0,0,0,0
"1.11.32",0,0,44,0,0,0,0,0,0
"1.11.33",0,0,62,0,0,0,0,0,0
"1.11.34",0,0,123,0,0,0,0,0,0
"1.11.35",0,0,44,0,0,0,0,0,0
"1.11.38",0,0,82,0,0,0,0,0,0
"1.11.41",0,0,116,0,0,0,0,0,0
"1.11.45",0,0,33,0,0,0,0,0,0
"1.11.5",0,0,173,27,10,29,0,1,0
