"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.1.1",1,54,89,5,74,0,0,1,4
"1.1.10",0,2,136,5,29,2,1,0,1
"1.1.13",21,20,151,4,29,1,1,1,3
"1.1.14",1,144,244,28,16,4,0,0,12
"1.1.15",0,22,22,0,1,1,0,0,2
"1.1.2",1,0,133,61,71,0,0,2,1
"1.1.21",0,0,54,2,3,2,0,1,0
"1.1.22",5,9,187,11,29,0,0,0,2
"1.1.23",0,0,118,11,13,0,0,0,0
"1.1.25",0,0,68,2,6,4,0,0,0
"1.1.26",66,122,210,17,27,0,0,0,14
"1.1.27",72,49,239,21,37,5,0,0,15
"1.1.28",1,0,14,0,3,0,0,0,1
"1.1.29",0,0,123,19,3,4,2,0,0
"1.1.3",6,19,194,28,40,1,0,0,4
"1.1.34",32,199,680,54,110,3,0,0,29
"1.1.36",0,0,76,12,2,1,0,0,0
"1.1.37",0,0,8,1,0,0,0,0,0
"1.1.38",3,1,19,2,5,0,0,0,2
"1.1.39",17,72,232,27,18,6,0,3,11
"1.1.40",7,0,34,1,1,0,0,0,3
"1.1.42",12,60,148,12,25,0,1,0,5
"1.1.44",0,0,19,4,4,0,46,0,0
"1.1.45",30,1,60,3,3,2,0,0,1
"1.1.6",0,5,227,21,32,1,0,0,3
"1.1.62",28,82,87,7,6,2,0,0,6
"1.1.7",12,86,125,6,18,1,0,0,12
"1.1.70",1,0,69,2,3,1,0,0,1
"1.1.71",1,10,155,6,22,2,1,3,2
"1.1.74",3,40,37,4,4,0,1,0,3
"1.1.76",0,4,6,0,1,0,0,0,1
"1.1.77",75,93,184,7,21,1,0,0,12
"1.1.78",20,22,592,75,35,5,0,9,13
"1.1.79",5,35,94,10,6,0,2,1,4
"1.1.8",5,44,149,21,10,5,0,0,5
"1.1.81",3,36,176,10,18,3,3,1,9
"1.1.82",55,206,110,7,5,4,0,0,23
"1.1.83",8,0,29,2,3,0,0,0,1
"1.1.87",2,33,21,1,1,0,0,0,3
"1.10.10",101,219,125,16,11,1,0,1,46
"1.10.11",1,17,113,17,17,8,16,1,7
"1.10.12",70,65,90,21,5,0,0,0,24
"1.10.13",103,260,299,23,41,10,0,4,49
"1.10.13A",92,76,186,15,16,25,1,0,23
"1.10.14A",0,0,31,6,4,4,0,0,0
"1.10.15",6,20,211,44,35,6,0,0,2
"1.10.16",3,2,101,13,8,12,2,2,3
"1.10.2",116,517,1838,402,549,44,1,77,102
"1.10.28",16,0,32,11,1,19,0,0,1
"1.10.3",4,18,207,9,66,1,0,4,4
"1.10.36",18,29,395,113,53,3,0,4,15
"1.10.37",153,441,1387,379,316,25,0,9,95
"1.10.38",147,366,1113,251,403,21,0,14,70
"1.10.4",8,18,129,19,23,8,0,0,5
"1.10.9",33,48,79,5,22,5,0,1,8
"1.11.1",5,17,214,101,61,5,0,2,8
"1.11.10",23,72,207,102,71,1,0,0,7
"1.11.11",0,0,35,10,4,0,0,0,0
"1.11.12",4,0,113,41,26,3,0,2,1
"1.11.13",1,25,121,45,15,3,2,0,3
"1.11.14",9,140,565,160,33,0,0,0,19
"1.11.16",8,91,258,134,66,3,0,7,8
"1.11.17",20,7,48,27,16,4,0,2,4
"1.11.18",72,286,515,341,123,3,0,4,45
"1.11.19",24,36,56,14,4,0,0,0,5
"1.11.2",3,1,13,1,0,0,0,0,2
"1.11.20",20,27,122,10,6,1,1,0,14
"1.11.21",34,15,159,47,29,0,0,0,8
"1.11.22",43,141,724,195,91,22,4,2,36
"1.11.24",0,0,38,15,9,4,0,0,0
"1.11.25",1,37,104,18,7,6,13,1,4
"1.11.26",5,0,61,11,5,2,0,2,2
"1.11.27",3,28,72,16,21,11,3,2,7
"1.11.28",31,20,14,2,0,0,0,0,7
"1.11.29",2,20,51,7,6,2,0,0,2
"1.11.3",4,15,59,12,7,1,2,3,7
"1.11.30",4,0,31,2,8,3,0,0,2
"1.11.32",1,0,36,4,6,7,1,0,1
"1.11.33",0,0,42,19,5,0,0,0,0
"1.11.34",10,23,118,17,15,4,0,1,8
"1.11.35",1,0,41,3,3,2,0,1,1
"1.11.38",2,20,85,10,4,3,0,0,2
"1.11.41",22,35,114,8,4,4,4,0,2
"1.11.45",2,0,17,10,1,5,0,0,1
"1.11.5",4,20,151,46,31,3,1,0,2
"1.11.52",22,0,12,6,3,1,0,0,3
"1.11.53",0,0,3,0,2,0,0,0,0
"1.11.55",0,0,174,35,22,30,3,2,0
"1.11.7",0,0,30,6,10,0,0,0,0
"1.11.9",16,135,959,206,368,1,0,9,16
"1.12.1",25,40,93,13,3,49,0,1,10
"1.12.2",3,0,19,3,1,13,0,0,1
"1.12.3",6,21,97,9,5,19,0,2,4
"1.12.4",14,0,120,14,2,101,0,2,4
"1.12.5",3,0,37,9,2,83,36,1,1
"1.12.6",0,0,47,14,4,16,0,2,0
"1.12.7",0,2,87,18,10,23,0,6,1
"1.13.10",103,49,246,12,1,33,1,3,39
"1.13.100",88,210,1076,139,333,46,0,2,62
"1.13.101",3,1,10,3,2,2,0,0,2
"1.13.102",14,0,22,13,3,2,0,0,2
"1.13.103",34,0,32,3,2,23,0,0,6
"1.13.104",56,48,647,142,149,53,9,9,21
"1.13.105",97,152,315,102,91,16,0,2,43
"1.13.106",65,25,31,8,10,3,0,0,9
"1.13.107",0,1,58,19,6,12,0,1,1
"1.13.11",6,2,18,0,0,39,0,0,3
"1.13.12",14,2,60,71,1,63,0,0,4
"1.13.13",9,0,6,1,0,0,0,0,1
"1.13.18",37,3,96,13,2,19,1,1,12
"1.13.2",17,40,124,5,5,4,0,0,10
"1.13.24",16,0,21,3,0,48,0,0,6
"1.13.28",0,0,5,2,0,3,0,0,0
"1.13.29",4,10,24,8,3,52,1,0,2
"1.13.3",0,0,50,9,4,19,3,0,0
"1.13.32",15,13,29,18,3,6,0,0,2
"1.13.34",0,0,60,24,4,14,3,0,0
"1.13.35",2,0,41,12,0,3,0,1,1
"1.13.36",2,0,19,21,3,2,0,0,2
"1.13.37",13,10,12,9,0,9,0,0,2
"1.13.4",13,0,18,5,0,6,0,0,3
"1.13.40",3,0,126,30,1,50,7,0,1
"1.13.42",0,0,9,6,2,2,0,0,0
"1.13.46",154,218,563,75,28,7,0,9,99
"1.13.48",9,3,154,19,7,6,0,0,6
"1.13.5",2,0,8,1,0,1,0,1,1
"1.13.50",96,214,852,90,46,23,0,13,86
"1.13.51",598,1375,1495,192,126,37,1,21,429
"1.13.52",20,1,39,6,2,8,1,0,4
"1.13.53",24,33,112,26,15,0,0,6,14
"1.13.54",11,1,35,6,2,0,0,0,3
"1.13.55",126,146,338,71,26,21,0,4,58
"1.13.56",824,1068,998,105,81,30,0,8,302
"1.13.57",12,34,161,72,17,25,2,0,6
"1.13.58",15,63,36,4,2,0,1,1,17
"1.13.59",48,20,78,21,8,3,0,2,16
"1.13.6",3,10,32,0,1,8,0,0,3
"1.13.60",68,247,216,72,25,4,0,4,72
"1.13.61",0,0,28,10,1,0,0,0,0
"1.13.62",42,86,267,21,42,25,0,7,27
"1.13.63",10,19,57,7,3,2,1,0,10
"1.13.75",42,50,155,41,104,6,0,6,18
"1.13.76",2,62,384,97,246,12,1,12,17
"1.13.77",0,10,18,2,6,0,0,1,1
"1.13.78",13,42,250,68,109,3,0,12,19
"1.13.8",7,0,5,0,0,1,0,0,1
"1.13.80",1,2,47,17,66,0,0,5,2
"1.13.81",17,6,69,10,17,3,0,1,7
"1.13.82",2,0,131,31,30,21,2,6,2
"1.13.83",9,69,239,121,58,1,0,0,17
"1.13.84",11,2,22,9,1,7,0,1,5
"1.13.85",6,26,156,87,30,0,0,2,7
"1.13.86",1,0,68,32,2,0,0,0,1
"1.13.87",87,167,324,101,38,1,0,3,45
"1.13.88",85,230,589,92,252,31,0,38,72
"1.13.89",0,11,9,1,3,0,0,1,2
"1.13.9",581,655,454,9,7,28,1,3,162
"1.13.90",10,51,126,21,19,0,0,4,13
"1.13.91",46,79,64,0,0,0,0,0,23
"1.13.92",133,693,356,69,23,1,0,2,140
"1.13.93",3,1,33,17,1,0,0,0,3
"1.13.94",67,57,222,59,36,1,1,1,23
"1.13.95",267,580,457,65,293,10,0,9,95
"1.13.96",129,513,518,156,59,4,0,3,77
"1.13.97",29,1,34,22,7,6,3,0,6
"1.13.98",45,59,36,8,3,0,0,0,14
"1.13.99",241,751,1002,0,0,0,0,0,112
"1.13.99A",0,0,17,0,0,7,0,0,0
"1.17.1",1,0,123,21,0,29,1,1,1
"1.17.5",0,0,4,0,0,17,0,0,0
"1.17.6",20,117,181,13,6,16,0,2,16
"1.18.1",429,746,305,5,0,9,1,3,134
"1.18.10",31,18,38,0,0,6,0,0,10
"1.18.11",94,153,99,2,3,10,1,1,44
"1.18.11A",0,0,13,0,2,2,0,0,0
"1.18.12",14,27,62,2,3,8,0,1,8
"1.18.13",19,10,27,2,0,5,0,0,6
"1.18.14",34,208,109,16,8,13,0,2,36
"1.18.15",0,0,71,4,2,15,1,1,0
