"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"1","1.1.13.1","1","1","13","1","1","T",NA,NA
"2","1.1.13.1","1","1","13","1","2","C",NA,NA
"3","1.1.13.10","1","1","13","10","1","T",NA,NA
"4","1.1.13.10","1","1","13","10","2","T",NA,NA
"5","1.1.13.100","1","1","13","100","1","T",NA,NA
"6","1.1.13.100","1","1","13","100","2","T",NA,NA
"7","1.1.13.101","1","1","13","101","1","T",NA,NA
"8","1.1.13.101","1","1","13","101","2","T",NA,NA
"9","1.1.13.102","1","1","13","102","1","R",NA,NA
"10","1.1.13.102","1","1","13","102","2","C",NA,NA
"11","1.1.13.103","1","1","13","103","1","R",NA,NA
"12","1.1.13.103","1","1","13","103","2","C",NA,NA
"13","1.1.13.104","1","1","13","104","1","R",NA,NA
"14","1.1.13.104","1","1","13","104","2","C",NA,NA
"15","1.1.13.105","1","1","13","105","1","T",NA,NA
"16","1.1.13.105","1","1","13","105","2","T",NA,NA
"17","1.1.13.106","1","1","13","106","1","R",NA,NA
"18","1.1.13.106","1","1","13","106","2","R",NA,NA
"19","1.1.13.107","1","1","13","107","1","R",NA,NA
"20","1.1.13.107","1","1","13","107","2","T",NA,NA
"21","1.1.13.108","1","1","13","108","1","T",NA,NA
"22","1.1.13.108","1","1","13","108","2","T",NA,NA
"23","1.1.13.109","1","1","13","109","1","T",NA,NA
"24","1.1.13.109","1","1","13","109","2","T",NA,NA
"25","1.1.13.11","1","1","13","11","1","T",NA,NA
"26","1.1.13.11","1","1","13","11","2","T",NA,NA
"27","1.1.13.110","1","1","13","110","1","T",NA,NA
"28","1.1.13.110","1","1","13","110","2","T",NA,NA
"29","1.1.13.111","1","1","13","111","1","T",NA,NA
"30","1.1.13.111","1","1","13","111","2","T",NA,NA
"31","1.1.13.112","1","1","13","112","1","T",NA,NA
"32","1.1.13.112","1","1","13","112","2","T",NA,NA
"33","1.1.13.113","1","1","13","113","1","C",NA,NA
"34","1.1.13.113","1","1","13","113","2","T",NA,NA
"35","1.1.13.114","1","1","13","114","1","T",NA,NA
"36","1.1.13.114","1","1","13","114","2","T",NA,NA
"37","1.1.13.115","1","1","13","115","1","T",NA,NA
"38","1.1.13.115","1","1","13","115","2","R",NA,NA
"39","1.1.13.116","1","1","13","116","1","T",NA,NA
"40","1.1.13.116","1","1","13","116","2","R",NA,NA
"41","1.1.13.117","1","1","13","117","1","T",NA,NA
"42","1.1.13.117","1","1","13","117","2","T",NA,NA
"43","1.1.13.118","1","1","13","118","1","T",NA,NA
"44","1.1.13.118","1","1","13","118","2","T",NA,NA
"45","1.1.13.119","1","1","13","119","1","T",NA,NA
"46","1.1.13.119","1","1","13","119","2","T",NA,NA
"47","1.1.13.12","1","1","13","12","1","T",NA,NA
"48","1.1.13.12","1","1","13","12","2","T",NA,NA
"49","1.1.13.120","1","1","13","120","1","R",NA,NA
"50","1.1.13.120","1","1","13","120","2","T",NA,NA
"51","1.1.13.121","1","1","13","121","1","T",NA,NA
"52","1.1.13.121","1","1","13","121","2","T",NA,NA
"53","1.1.13.122","1","1","13","122","1","LV",NA,NA
"54","1.1.13.122","1","1","13","122","2","T",NA,NA
"55","1.1.13.123","1","1","13","123","1","T",NA,NA
"56","1.1.13.123","1","1","13","123","2","T",NA,NA
"57","1.1.13.124","1","1","13","124","1","T",NA,NA
"58","1.1.13.124","1","1","13","124","2","R",NA,NA
"59","1.1.13.125","1","1","13","125","1","T",NA,NA
"60","1.1.13.125","1","1","13","125","2","T",NA,NA
"61","1.1.13.126","1","1","13","126","1","T",NA,NA
"62","1.1.13.126","1","1","13","126","2","T",NA,NA
"63","1.1.13.127","1","1","13","127","1","T",NA,NA
"64","1.1.13.127","1","1","13","127","2","T",NA,NA
"65","1.1.13.128","1","1","13","128","1","T",NA,NA
"66","1.1.13.128","1","1","13","128","2","T",NA,NA
"67","1.1.13.129","1","1","13","129","1","T",NA,NA
"68","1.1.13.129","1","1","13","129","2","T",NA,NA
"69","1.1.13.13","1","1","13","13","1","T",NA,NA
"70","1.1.13.13","1","1","13","13","2","T",NA,NA
"71","1.1.13.130","1","1","13","130","1","T",NA,NA
"72","1.1.13.130","1","1","13","130","2","T",NA,NA
"73","1.1.13.131","1","1","13","131","1","T",NA,NA
"74","1.1.13.131","1","1","13","131","2","T",NA,NA
"75","1.1.13.132","1","1","13","132","1","T",NA,NA
"76","1.1.13.132","1","1","13","132","2","T",NA,NA
"77","1.1.13.133","1","1","13","133","1","T",NA,NA
"78","1.1.13.133","1","1","13","133","2","T",NA,NA
"79","1.1.13.134","1","1","13","134","1","LP",NA,NA
"80","1.1.13.134","1","1","13","134","2","LP",NA,NA
"81","1.1.13.135","1","1","13","135","1","R",NA,NA
"82","1.1.13.135","1","1","13","135","2","R",NA,NA
"83","1.1.13.136","1","1","13","136","1","T",NA,NA
"84","1.1.13.136","1","1","13","136","2","R",NA,NA
"85","1.1.13.137","1","1","13","137","1","T",NA,NA
"86","1.1.13.137","1","1","13","137","2","T",NA,NA
"87","1.1.13.138","1","1","13","138","1","T",NA,NA
"88","1.1.13.138","1","1","13","138","2","T",NA,NA
"89","1.1.13.139","1","1","13","139","1","T",NA,NA
"90","1.1.13.139","1","1","13","139","2","T",NA,NA
"91","1.1.13.14","1","1","13","14","1","T",NA,NA
"92","1.1.13.14","1","1","13","14","2","T",NA,NA
"93","1.1.13.140","1","1","13","140","1","T",NA,NA
"94","1.1.13.140","1","1","13","140","2","T",NA,NA
"95","1.1.13.141","1","1","13","141","1","C",NA,NA
"96","1.1.13.141","1","1","13","141","2","T",NA,NA
"97","1.1.13.142","1","1","13","142","1","T",NA,NA
"98","1.1.13.142","1","1","13","142","2","T",NA,NA
"99","1.1.13.143","1","1","13","143","1","T",NA,NA
"100","1.1.13.143","1","1","13","143","2","T",NA,NA
"101","1.1.13.144","1","1","13","144","1","T",NA,NA
"102","1.1.13.144","1","1","13","144","2","T",NA,NA
"103","1.1.13.145","1","1","13","145","1","T",NA,NA
"104","1.1.13.145","1","1","13","145","2","T",NA,NA
"105","1.1.13.146","1","1","13","146","1","T",NA,NA
"106","1.1.13.146","1","1","13","146","2","T",NA,NA
"107","1.1.13.147","1","1","13","147","1","T",NA,NA
"108","1.1.13.147","1","1","13","147","2","T",NA,NA
"109","1.1.13.148","1","1","13","148","1","T",NA,NA
"110","1.1.13.148","1","1","13","148","2","T",NA,NA
"111","1.1.13.149","1","1","13","149","1","T",NA,NA
"112","1.1.13.149","1","1","13","149","2","T",NA,NA
"113","1.1.13.15","1","1","13","15","1","T",NA,NA
"114","1.1.13.15","1","1","13","15","2","T",NA,NA
"115","1.1.13.150","1","1","13","150","1","T",NA,NA
"116","1.1.13.150","1","1","13","150","2","T",NA,NA
"117","1.1.13.151","1","1","13","151","1","T",NA,NA
"118","1.1.13.151","1","1","13","151","2","R",NA,NA
"119","1.1.13.152","1","1","13","152","1","T",NA,NA
"120","1.1.13.152","1","1","13","152","2","T",NA,NA
"121","1.1.13.153","1","1","13","153","1","T",NA,NA
"122","1.1.13.153","1","1","13","153","2","T",NA,NA
"123","1.1.13.154","1","1","13","154","1","T",NA,NA
"124","1.1.13.154","1","1","13","154","2","T",NA,NA
"125","1.1.13.155","1","1","13","155","1","T",NA,NA
"126","1.1.13.155","1","1","13","155","2","R",NA,NA
"127","1.1.13.156","1","1","13","156","1","T",NA,NA
"128","1.1.13.156","1","1","13","156","2","T",NA,NA
"129","1.1.13.157","1","1","13","157","1","T",NA,NA
"130","1.1.13.157","1","1","13","157","2","T",NA,NA
"131","1.1.13.158","1","1","13","158","1","T",NA,NA
"132","1.1.13.158","1","1","13","158","2","R",NA,NA
"133","1.1.13.159","1","1","13","159","1","T",NA,NA
"134","1.1.13.159","1","1","13","159","2","T",NA,NA
"135","1.1.13.16","1","1","13","16","1","T",NA,NA
"136","1.1.13.16","1","1","13","16","2","T",NA,NA
"137","1.1.13.160","1","1","13","160","1","T",NA,NA
"138","1.1.13.160","1","1","13","160","2","T",NA,NA
"139","1.1.13.161","1","1","13","161","1","R",NA,NA
"140","1.1.13.161","1","1","13","161","2","T",NA,NA
"141","1.1.13.162","1","1","13","162","1","T",NA,NA
"142","1.1.13.162","1","1","13","162","2","T",NA,NA
"143","1.1.13.163","1","1","13","163","1","T",NA,NA
"144","1.1.13.163","1","1","13","163","2","T",NA,NA
"145","1.1.13.164","1","1","13","164","1","T",NA,NA
"146","1.1.13.164","1","1","13","164","2","T",NA,NA
"147","1.1.13.165","1","1","13","165","1","T",NA,NA
"148","1.1.13.165","1","1","13","165","2","T",NA,NA
"149","1.1.13.166","1","1","13","166","1","T",NA,NA
"150","1.1.13.166","1","1","13","166","2","C",NA,NA
"151","1.1.13.167","1","1","13","167","1","T",NA,NA
"152","1.1.13.167","1","1","13","167","2","T",NA,NA
"153","1.1.13.168","1","1","13","168","1","T",NA,NA
"154","1.1.13.168","1","1","13","168","2","T",NA,NA
"155","1.1.13.169","1","1","13","169","1","R",NA,NA
"156","1.1.13.169","1","1","13","169","2","R",NA,NA
"157","1.1.13.17","1","1","13","17","1","T",NA,NA
"158","1.1.13.17","1","1","13","17","2","T",NA,NA
"159","1.1.13.170","1","1","13","170","1","T",NA,NA
"160","1.1.13.170","1","1","13","170","2","R",NA,NA
"161","1.1.13.171","1","1","13","171","1","T",NA,NA
"162","1.1.13.171","1","1","13","171","2","R",NA,NA
"163","1.1.13.172","1","1","13","172","1","T",NA,NA
"164","1.1.13.172","1","1","13","172","2","T",NA,NA
