CODDIST,DISTRITO,CODIGO,CODPRV,CODNSTCD,INSECTICID
1,Paucarpata,13,1,3,DELTA 5% Paucarpata
3,San Juan de Siguas,20,1,1,DELTA 5% S.C. San Juan de Siguas
4,Sabandia,17,1,2,DELTA 5% S.C. Sabandia
5,Yarabamba,28,1,2,DELTA 5% S.C. Sabandia
6,Characato,5,1,2,DELTA 5% S.C. Sabandia
7,Mollebaya,12,1,2,DELTA 5% S.C. Sabandia
8,Ayo,3,2,4,DELTA 5% S.C. Ayo
9,Santa Isabel de Siguas,21,1,5,DELTA 5% S.C. Santa Isabel de Siguas
10,Mariano Melgar,10,1,6,DELTA 5% S.C. Mariano Melgar
11,Cayma,3,1,7,DELTA 5% S.C. Cayma
12,Jaqui,10,3,9,DELTA 5% S.C. Caraveli
13,Miraflores,11,1,11,DELTA 5% S.C. Miraflores
14,Alto Selva Alegre,1,1,12,DELTA 5% S.C. Alto Selva Alegre
15,Cerro Colorado,4,1,14,DELTA 5 % S.C. Cerro Colorado
18,Huanca,80,4,15,DELTA 5 % S.C. Huanca
19,Huambo,79,4,16,DELTA 5 % S.C. Huambo
