"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.7.1.1",1,7,"1","1",-16.4465753980257,-71.5626616148118,"1",NA,NA,"11/12/2004","2"
"1.7.1.1",1,7,"1","1",-16.4465753980257,-71.5626616148118,"1",NA,NA,"18/11/2003","1"
"1.7.1.10",1,7,"1","10",-16.446620236045,-71.5624590321338,"2",NA,NA,"24/07/2004","2"
"1.7.1.10",1,7,"1","10",-16.446620236045,-71.5624590321338,"2",NA,NA,"18/11/2003","1"
"1.7.1.11",1,7,"1","11",-16.446693185373,-71.5625426030228,"2",NA,NA,"18/11/2003","1"
"1.7.1.11",1,7,"1","11",-16.446693185373,-71.5625426030228,"2",NA,NA,"25/07/2004","2"
"1.7.1.12",1,7,"1","12",-16.446784264315,-71.5624313978849,"2",NA,NA,"24/07/2004","2"
"1.7.1.12",1,7,"1","12",-16.446784264315,-71.5624313978849,"2",NA,NA,"18/11/2003","1"
"1.7.1.13",1,7,"1","13",-16.4467133633929,-71.5623492622906,"2",NA,NA,"18/11/2003","1"
"1.7.1.13",1,7,"1","13",-16.4467133633929,-71.5623492622906,"2",NA,NA,"24/07/2004","2"
"1.7.1.14",1,7,"1","14",-16.4466627191642,-71.5622795689536,"2",NA,NA,"18/11/2003","1"
"1.7.1.14",1,7,"1","14",-16.4466627191642,-71.5622795689536,"2",NA,NA,"24/07/2004","2"
"1.7.1.15",1,7,"1","15",-16.4465543284215,-71.5622260625341,"2",NA,NA,"18/11/2003","1"
"1.7.1.15",1,7,"1","15",-16.4465543284215,-71.5622260625341,"2",NA,NA,"11/12/2004","2"
"1.7.1.16",1,7,"1","16",-16.4464642519083,-71.5621403457424,"2",NA,NA,"18/11/2003","1"
"1.7.1.16",1,7,"1","16",-16.4464642519083,-71.5621403457424,"2",NA,NA,"24/07/2004","2"
"1.7.1.17",1,7,"1","17",-16.4464383810044,-71.561860722784,"3",NA,NA,"18/11/2003","1"
"1.7.1.17",1,7,"1","17",-16.4464383810044,-71.561860722784,"3",NA,NA,"24/07/2004","2"
"1.7.1.18",1,7,"1","18",-16.4464957854808,-71.5619250577015,"3",NA,NA,"18/11/2003","1"
"1.7.1.18",1,7,"1","18",-16.4464957854808,-71.5619250577015,"3",NA,NA,"11/12/2004","2"
"1.7.1.19",1,7,"1","19",-16.4465600604194,-71.5619736402944,"3",NA,NA,"18/11/2003","1"
"1.7.1.19",1,7,"1","19",-16.4465600604194,-71.5619736402944,"3",NA,NA,"24/07/2004","2"
"1.7.1.2",1,7,"1","2",-16.4465066679824,-71.5626056341762,"1",NA,NA,"18/11/2003","1"
"1.7.1.2",1,7,"1","2",-16.4465066679824,-71.5626056341762,"1",NA,NA,"24/07/2004","2"
"1.7.1.20",1,7,"1","20",-16.4466215650874,-71.5620369326356,"3",NA,NA,"18/11/2003","1"
"1.7.1.20",1,7,"1","20",-16.4466215650874,-71.5620369326356,"3",NA,NA,"25/07/2004","2"
"1.7.1.21",1,7,"1","21",-16.446699788697,-71.562096961181,"3",NA,NA,"11/12/2004","2"
"1.7.1.21",1,7,"1","21",-16.446699788697,-71.562096961181,"3",NA,NA,"18/11/2003","1"
"1.7.1.22",1,7,"1","22",-16.4467699536089,-71.5621656762758,"3",NA,NA,"18/11/2003","1"
"1.7.1.22",1,7,"1","22",-16.4467699536089,-71.5621656762758,"3",NA,NA,"24/07/2004","2"
"1.7.1.23",1,7,"1","23",-16.4468369071862,-71.5622472131506,"3",NA,NA,"24/07/2004","2"
"1.7.1.23",1,7,"1","23",-16.4468369071862,-71.5622472131506,"3",NA,NA,"18/11/2003","1"
"1.7.1.24",1,7,"1","24",-16.4468968104211,-71.5623124446763,"3",NA,NA,"18/11/2003","1"
"1.7.1.24",1,7,"1","24",-16.4468968104211,-71.5623124446763,"3",NA,NA,"24/07/2004","2"
"1.7.1.25",1,7,"1","25",-16.4470030390066,-71.562182808775,"3","1",NA,"18/11/2003","1"
"1.7.1.25",1,7,"1","25",-16.4470030390066,-71.562182808775,"3",NA,NA,"25/07/2004","2"
"1.7.1.26",1,7,"1","26",-16.4469310046071,-71.562120584209,"3",NA,NA,"24/07/2004","2"
"1.7.1.26",1,7,"1","26",-16.4469310046071,-71.562120584209,"3",NA,NA,"18/11/2003","1"
"1.7.1.27",1,7,"1","27",-16.4468718165833,-71.5620556106655,"3",NA,NA,"25/07/2004","2"
"1.7.1.27",1,7,"1","27",-16.4468718165833,-71.5620556106655,"3",NA,NA,"18/11/2003","1"
"1.7.1.28",1,7,"1","28",-16.4468097362652,-71.561993197136,"3",NA,NA,"11/12/2004","2"
"1.7.1.28",1,7,"1","28",-16.4468097362652,-71.561993197136,"3",NA,NA,"18/11/2003","1"
"1.7.1.29",1,7,"1","29",-16.4467444507258,-71.5619328197088,"3",NA,NA,"25/07/2004","2"
"1.7.1.29",1,7,"1","29",-16.4467444507258,-71.5619328197088,"3",NA,NA,"18/11/2003","1"
"1.7.1.3",1,7,"1","3",-16.4464313571605,-71.5625405173088,"1",NA,NA,"18/11/2003","1"
"1.7.1.3",1,7,"1","3",-16.4464313571605,-71.5625405173088,"1",NA,NA,"25/07/2004","2"
"1.7.1.30",1,7,"1","30",-16.4466625885451,-71.5618867162505,"3",NA,NA,"18/11/2003","1"
"1.7.1.30",1,7,"1","30",-16.4466625885451,-71.5618867162505,"3",NA,NA,"24/07/2004","2"
"1.7.1.31",1,7,"1","31",-16.4465880262506,-71.561812465535,"3",NA,NA,"18/11/2003","1"
"1.7.1.31",1,7,"1","31",-16.4465880262506,-71.561812465535,"3",NA,NA,"25/07/2004","2"
