"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.24.1.1",1,24,"1","1",-16.4467816664597,-71.6003432157699,"1",NA,NA,"29/03/2005","2"
"1.24.1.1",1,24,"1","1",-16.4467816664597,-71.6003432157699,"1",NA,NA,"11/10/2004","1"
"1.24.1.10",1,24,"1","10",-16.447319205555,-71.5987006610231,"2",NA,NA,"25/04/2005","2"
"1.24.1.10",1,24,"1","10",-16.447319205555,-71.5987006610231,"2",NA,NA,"11/10/2004",""
"1.24.1.100",1,24,"1","100",-16.4461956903289,-71.5950116415853,"5",NA,NA,"14/10/2004","1"
"1.24.1.100",1,24,"1","100",-16.4461956903289,-71.5950116415853,"5",NA,NA,"01/04/2005","2"
"1.24.1.101",1,24,"1","101",-16.4462798590686,-71.5950041570634,"5",NA,NA,"19/10/2004","1"
"1.24.1.101",1,24,"1","101",-16.4462798590686,-71.5950041570634,"5",NA,NA,"31/03/2005","2"
"1.24.1.102",1,24,"1","102",-16.4464252049156,-71.5950171063677,"5",NA,NA,"29/10/2004","1"
"1.24.1.102",1,24,"1","102",-16.4464252049156,-71.5950171063677,"5",NA,NA,"01/04/2005","2"
"1.24.1.103",1,24,"1","103",-16.4465394012475,-71.5950153405541,"5",NA,NA,"05/04/2005","2"
"1.24.1.103",1,24,"1","103",-16.4465394012475,-71.5950153405541,"5",NA,NA,"29/10/2004","1"
"1.24.1.104",1,24,"1","104",-16.4466493059937,-71.5950813912469,"5",NA,NA,"31/03/2005","2"
"1.24.1.104",1,24,"1","104",-16.4466493059937,-71.5950813912469,"5",NA,"","02/11/2004",""
"1.24.1.105",1,24,"1","105",-16.4467126540861,-71.594948548192,"5",NA,"","15/10/2004",""
"1.24.1.105",1,24,"1","105",-16.4467126540861,-71.594948548192,"5",NA,NA,"31/03/2005","2"
"1.24.1.106",1,24,"1","106",-16.4468008710515,-71.5948367194562,"5",NA,NA,"31/03/2005","2"
"1.24.1.106",1,24,"1","106",-16.4468008710515,-71.5948367194562,"5",NA,NA,"15/10/2004","1"
"1.24.1.107",1,24,"1","107",-16.4468854296255,-71.5945534034821,"5",NA,NA,"13/10/2004","1"
"1.24.1.107",1,24,"1","107",-16.4468854296255,-71.5945534034821,"5",NA,NA,"25/04/2005","2"
"1.24.1.108",1,24,"1","108",-16.4468865736522,-71.594419283087,"5",NA,NA,"31/03/2005","2"
"1.24.1.108",1,24,"1","108",-16.4468865736522,-71.594419283087,"5",NA,NA,"15/10/2004","1"
"1.24.1.109",1,24,"1","109",-16.4468971444693,-71.5943037384493,"5",NA,NA,"14/10/2004","1"
"1.24.1.109",1,24,"1","109",-16.4468971444693,-71.5943037384493,"5",NA,NA,"31/03/2005","2"
"1.24.1.11",1,24,"1","11",-16.4473714409827,-71.5984793180432,"2",NA,NA,"25/04/2005","2"
"1.24.1.11",1,24,"1","11",-16.4473714409827,-71.5984793180432,"2",NA,NA,"12/11/2004","1"
"1.24.1.110",1,24,"1","110",-16.4469651129288,-71.5942053581932,"5",NA,NA,"14/10/2004","1"
"1.24.1.110",1,24,"1","110",-16.4469651129288,-71.5942053581932,"5",NA,NA,"25/04/2005","2"
"1.24.1.111",1,24,"1","111",-16.4469631847416,-71.5940916190947,"5",NA,NA,"14/10/2004","1"
"1.24.1.111",1,24,"1","111",-16.4469631847416,-71.5940916190947,"5",NA,NA,"25/04/2005","2"
"1.24.1.112",1,24,"1","112",-16.4470415788015,-71.5936645263589,"5",NA,NA,"01/04/2005","2"
"1.24.1.112",1,24,"1","112",-16.4470415788015,-71.5936645263589,"5",NA,NA,"15/10/2004","1"
"1.24.1.113",1,24,"1","113",-16.4470824555398,-71.5934272285688,"5",NA,NA,"29/10/2004","1"
"1.24.1.113",1,24,"1","113",-16.4470824555398,-71.5934272285688,"5",NA,NA,"25/04/2005","2"
"1.24.1.114",1,24,"1","114",-16.4471531344097,-71.5931067396186,"5",NA,NA,"06/04/2005","2"
"1.24.1.114",1,24,"1","114",-16.4471531344097,-71.5931067396186,"5",NA,NA,"29/10/2004","1"
"1.24.1.115",1,24,"1","115",-16.4471640842064,-71.593010477509,"5",NA,NA,"25/04/2005","2"
"1.24.1.115",1,24,"1","115",-16.4471640842064,-71.593010477509,"5",NA,NA,"05/11/2004","1"
"1.24.1.116",1,24,"1","116",-16.4472159012654,-71.5929405307803,"5",NA,NA,"29/10/2004","1"
"1.24.1.116",1,24,"1","116",-16.4472159012654,-71.5929405307803,"5",NA,NA,"01/04/2005","2"
"1.24.1.117",1,24,"1","117",-16.4472311324388,-71.5928308671625,"5",NA,NA,"21/10/2004","1"
"1.24.1.117",1,24,"1","117",-16.4472311324388,-71.5928308671625,"5",NA,NA,"18/04/2005","2"
"1.24.1.118",1,24,"1","118",-16.4443396011493,-71.5926277553206,"6",NA,NA,"25/04/2005","2"
"1.24.1.118",1,24,"1","118",-16.4443396011493,-71.5926277553206,"6",NA,NA,"0000-00-00","1"
"1.24.1.119",1,24,"1","119",-16.4430269327236,-71.5925332661081,"6",NA,NA,"0000-00-00","1"
"1.24.1.119",1,24,"1","119",-16.4430269327236,-71.5925332661081,"6",NA,NA,"25/04/2005","2"
"1.24.1.12",1,24,"1","12",-16.4475562438018,-71.5983957987295,"1",NA,NA,"11/10/2004","1"
"1.24.1.12",1,24,"1","12",-16.4475562438018,-71.5983957987295,"1",NA,NA,"29/03/2005","2"
"1.24.1.120",1,24,"1","120",-16.4425425916023,-71.5928585528516,"6",NA,NA,"05/04/2005","2"
"1.24.1.120",1,24,"1","120",-16.4425425916023,-71.5928585528516,"6",NA,NA,"18/10/2004","1"
"1.24.1.121",1,24,"1","121",-16.4433285345412,-71.5921448991195,"7",NA,NA,"01/04/2005","2"
"1.24.1.121",1,24,"1","121",-16.4433285345412,-71.5921448991195,"7",NA,NA,"18/10/2004","1"
"1.24.1.122",1,24,"1","122",-16.4436017225748,-71.5922081013515,"7",NA,"","18/10/2004",""
"1.24.1.122",1,24,"1","122",-16.4436017225748,-71.5922081013515,"7",NA,NA,"21/04/2005","2"
"1.24.1.123",1,24,"1","123",-16.4445860389424,-71.592182073744,"7",NA,NA,"18/04/2005","2"
"1.24.1.123",1,24,"1","123",-16.4445860389424,-71.592182073744,"7",NA,NA,"18/10/2004","1"
"1.24.1.124",1,24,"1","124",-16.4469971044138,-71.5924112898907,"8",NA,NA,"01/04/2005","2"
"1.24.1.124",1,24,"1","124",-16.4469971044138,-71.5924112898907,"8",NA,NA,"15/10/2004","1"
"1.24.1.125",1,24,"1","125",-16.4472308296992,-71.5924896485254,"8",NA,NA,"0000-00-00","1"
"1.24.1.125",1,24,"1","125",-16.4472308296992,-71.5924896485254,"8",NA,NA,"25/04/2005","2"
"1.24.1.126",1,24,"1","126",-16.4472287806231,-71.5923843766076,"8",NA,NA,"20/10/2004","1"
"1.24.1.126",1,24,"1","126",-16.4472287806231,-71.5923843766076,"8",NA,NA,"01/04/2005","2"
"1.24.1.127",1,24,"1","127",-16.4472266824874,-71.5922709165232,"8",NA,NA,"15/10/2004","1"
