"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.28.1.1",1,28,"1","1",-16.5653811949291,-71.430421194151,"1",NA,NA,NA,NA
"1.28.1.10",1,28,"1","10",-16.5677600349611,-71.4386430141402,"1",NA,NA,NA,NA
"1.28.1.11",1,28,"1","11",-16.5670210940474,-71.438632705266,"1",NA,NA,NA,NA
"1.28.1.12",1,28,"1","12",-16.5669916666666,-71.4388821743463,"1",NA,NA,NA,NA
"1.28.1.13",1,28,"1","13",-16.5670131629384,-71.4391114807616,"1",NA,NA,NA,NA
"1.28.1.14",1,28,"1","14",-16.5670111111111,-71.4397769168008,"1",NA,NA,NA,NA
"1.28.1.15",1,28,"1","15",-16.5673472222222,-71.4389676343866,"1",NA,NA,NA,NA
"1.28.1.16",1,28,"1","16",-16.5675807451359,-71.4388268766774,"1",NA,NA,NA,NA
"1.28.1.17",1,28,"1","17",-16.5671671968436,-71.4394029982456,"1",NA,NA,NA,NA
"1.28.1.18",1,28,"1","18",-16.5673170672489,-71.4393587449737,"1",NA,NA,NA,NA
"1.28.1.19",1,28,"1","19",-16.5673433593234,-71.439435487108,"1",NA,NA,NA,NA
"1.28.1.20",1,28,"1","20",-16.5673657166473,-71.4395791606323,"1",NA,NA,NA,NA
"1.28.1.21",1,28,"1","21",-16.5676460328905,-71.43925,"1",NA,NA,NA,NA
"1.28.1.22",1,28,"1","22",-16.5681056570937,-71.4394,"1",NA,NA,NA,NA
"1.28.1.23",1,28,"1","23",-16.5683447729909,-71.4392443095523,"1",NA,NA,NA,NA
"1.28.1.24",1,28,"1","24",-16.5674333333333,-71.4392250662916,"1",NA,NA,NA,NA
"1.28.1.25",1,28,"1","25",-16.5676165221372,-71.4390472222222,"1",NA,NA,NA,NA
"1.28.1.26",1,28,"1","26",-16.567763827305,-71.438991312603,"1",NA,NA,NA,NA
"1.28.1.27",1,28,"1","27",-16.5679805555555,-71.4390274086711,"1",NA,NA,NA,NA
"1.28.1.28",1,28,"1","28",-16.5680787765359,-71.4390436520289,"1",NA,NA,NA,NA
"1.28.1.29",1,28,"1","29",-16.5681611911752,-71.4390824233993,"1",NA,NA,NA,NA
"1.28.1.3",1,28,"1","3",-16.5652989440814,-71.4325465604817,"1",NA,NA,NA,NA
"1.28.1.30",1,28,"1","30",-16.5682733862751,-71.4391174664692,"1",NA,NA,NA,NA
"1.28.1.31",1,28,"1","31",-16.5686105375227,-71.4389978496081,"1",NA,NA,NA,NA
"1.28.1.32",1,28,"1","32",-16.5681649162644,-71.4388827149999,"1",NA,NA,NA,NA
"1.28.1.33",1,28,"1","33",-16.5684389601542,-71.4388515963558,"1",NA,NA,NA,NA
"1.28.1.34",1,28,"1","34",-16.5686453287459,-71.4387118406389,"1",NA,NA,NA,NA
"1.28.1.35",1,28,"1","35",-16.5687280595671,-71.4387345931818,"1",NA,NA,NA,NA
"1.28.1.36",1,28,"1","36",-16.5687766899176,-71.43875,"1",NA,NA,NA,NA
"1.28.1.37",1,28,"1","37",-16.5688466314002,-71.4387638888888,"1",NA,NA,NA,NA
"1.28.1.38",1,28,"1","38",-16.5689976251578,-71.4388363084307,"1",NA,NA,NA,NA
"1.28.1.39",1,28,"1","39",-16.5688799872748,-71.4389481104558,"1",NA,NA,NA,NA
"1.28.1.4",1,28,"1","4",-16.5670209181711,-71.4375733089601,"1",NA,NA,NA,NA
"1.28.1.40",1,28,"1","40",-16.5687139054024,-71.4390318047633,"1",NA,NA,NA,NA
"1.28.1.41",1,28,"1","41",-16.568002216529,-71.4388797657418,"1",NA,NA,NA,NA
"1.28.1.42",1,28,"1","42",-16.5677625181961,-71.4388927091603,"1",NA,NA,NA,NA
"1.28.1.43",1,28,"1","43",-16.5677753056427,-71.4388153304885,"1",NA,NA,NA,NA
"1.28.1.44",1,28,"1","44",-16.567885785235,-71.4387131920456,"1",NA,NA,NA,NA
"1.28.1.45",1,28,"1","45",-16.5683083333333,-71.4386562068772,"1",NA,NA,NA,NA
"1.28.1.46",1,28,"1","46",-16.5684583333333,-71.4386534485409,"1",NA,NA,NA,NA
"1.28.1.47",1,28,"1","47",-16.5685395377793,-71.4386706909551,"1",NA,NA,NA,NA
"1.28.1.48",1,28,"1","48",-16.5683972314975,-71.4387886697156,"1",NA,NA,NA,NA
"1.28.1.49",1,28,"1","49",-16.5686468303283,-71.438492836788,"1",NA,NA,NA,NA
"1.28.1.5",1,28,"1","5",-16.5671189786696,-71.4377415862021,"1",NA,NA,NA,NA
"1.28.1.50",1,28,"1","50",-16.5689706936296,-71.4386793861507,"1",NA,NA,NA,NA
"1.28.1.51",1,28,"1","51",-16.5690764437241,-71.4387626830892,"1",NA,NA,NA,NA
"1.28.1.52",1,28,"1","52",-16.5691406005016,-71.4389257934998,"1",NA,NA,NA,NA
"1.28.1.53",1,28,"1","53",-16.5689285605091,-71.4390839908553,"1",NA,NA,NA,NA
"1.28.1.54",1,28,"1","54",-16.5691031896344,-71.4393942110656,"1",NA,NA,NA,NA
"1.28.1.55",1,28,"1","55",-16.568955389847,-71.4392662726269,"1",NA,NA,NA,NA
"1.28.1.56",1,28,"1","56",-16.5688382245206,-71.4392160852788,"1",NA,NA,NA,NA
"1.28.1.57",1,28,"1","57",-16.5687551582744,-71.4391777777777,"1",NA,NA,NA,NA
"1.28.1.58",1,28,"1","58",-16.5684968158829,-71.4391513944626,"1",NA,NA,NA,NA
"1.28.1.59",1,28,"1","59",-16.5684856772706,-71.4393679614893,"1",NA,NA,NA,NA
"1.28.1.6",1,28,"1","6",-16.5673527777777,-71.4379453713657,"1",NA,NA,NA,NA
"1.28.1.60",1,28,"1","60",-16.5682944444444,-71.4394661200097,"1",NA,NA,NA,NA
"1.28.1.61",1,28,"1","61",-16.5682868105628,-71.4395787799995,"1",NA,NA,NA,NA
"1.28.1.62",1,28,"1","62",-16.5683356095496,-71.4397720825936,"1",NA,NA,NA,NA
"1.28.1.63",1,28,"1","63",-16.5680556738776,-71.4398037938075,"1",NA,NA,NA,NA
"1.28.1.64",1,28,"1","64",-16.5679303435272,-71.4397748188858,"1",NA,NA,NA,NA
"1.28.1.65",1,28,"1","65",-16.5677865551879,-71.4397256880567,"1",NA,NA,NA,NA
"1.28.1.66",1,28,"1","66",-16.5675377047321,-71.4398935597052,"1",NA,NA,NA,NA
"1.28.1.67",1,28,"1","67",-16.567597826265,-71.4400332730711,"1",NA,NA,NA,NA
"1.28.1.68",1,28,"1","68",-16.5678063276668,-71.4399272115284,"1",NA,NA,NA,NA
"1.28.1.69",1,28,"1","69",-16.5678837197687,-71.4401288346213,"1",NA,NA,NA,NA
"1.28.1.7",1,28,"1","7",-16.5675436840414,-71.4381854413136,"1",NA,NA,NA,NA
"1.28.1.70",1,28,"1","70",-16.5678989896701,-71.4406663093217,"1",NA,NA,NA,NA
"1.28.1.8",1,28,"1","8",-16.5673632389688,-71.4383230776063,"1",NA,NA,NA,NA
"1.28.1.9",1,28,"1","9",-16.5680322713495,-71.4384936320447,"1",NA,NA,NA,NA
"1.28.2.1",1,28,"2","1",-16.564006041517,-71.4599904682684,"1",NA,NA,NA,NA
"1.28.2.10",1,28,"2","10",-16.5640257542747,-71.4593638888888,"3",NA,NA,NA,NA
"1.28.2.11",1,28,"2","11",-16.5637322463799,-71.4589071041445,"3",NA,NA,NA,NA
"1.28.2.12",1,28,"2","12",-16.5637189346813,-71.4587073275235,"3",NA,NA,NA,NA
"1.28.2.13",1,28,"2","13",-16.5637361111111,-71.4585726555901,"3",NA,NA,NA,NA
"1.28.2.14",1,28,"2","14",-16.5637024553049,-71.4580921162392,"4",NA,NA,NA,NA
"1.28.2.15",1,28,"2","15",-16.5636519355832,-71.4578083333333,"4",NA,NA,NA,NA
"1.28.2.16",1,28,"2","16",-16.5636970843614,-71.4576377687911,"4",NA,NA,NA,NA
"1.28.2.17",1,28,"2","17",-16.5635669121282,-71.4573228292136,"4",NA,NA,NA,NA
"1.28.2.18",1,28,"2","18",-16.564375,-71.4555516889268,"5",NA,NA,NA,NA
"1.28.2.19",1,28,"2","19",-16.5640388888888,-71.4565962677935,"6",NA,NA,NA,NA
"1.28.2.2",1,28,"2","2",-16.5637080115631,-71.4596037320604,"2",NA,NA,NA,NA
"1.28.2.20",1,28,"2","20",-16.5637898562596,-71.4569477806895,"6",NA,NA,NA,NA
"1.28.2.21",1,28,"2","21",-16.5637666666666,-71.4570368703061,"6",NA,NA,NA,NA
"1.28.2.22",1,28,"2","22",-16.5637698822189,-71.457264666331,"6",NA,NA,NA,NA
"1.28.2.23",1,28,"2","23",-16.563904250738,-71.4575583333333,"6",NA,NA,NA,NA
"1.28.2.24",1,28,"2","24",-16.5640055555555,-71.457185284075,"6",NA,NA,NA,NA
"1.28.2.25",1,28,"2","25",-16.5641787362407,-71.4572952329514,"6",NA,NA,NA,NA
"1.28.2.26",1,28,"2","26",-16.564131734137,-71.4574638888889,"6",NA,NA,NA,NA
"1.28.2.27",1,28,"2","27",-16.5641,-71.4577209276725,"6",NA,NA,NA,NA
"1.28.2.28",1,28,"2","28",-16.5640222222222,-71.4579913273972,"6",NA,NA,NA,NA
"1.28.2.29",1,28,"2","29",-16.5639361111111,-71.4578995612744,"6",NA,NA,NA,NA
"1.28.2.3",1,28,"2","3",-16.5634346041793,-71.4588353109898,"2",NA,NA,NA,NA
"1.28.2.30",1,28,"2","30",-16.5655437613176,-71.4540102806607,"7",NA,NA,NA,NA
"1.28.2.4",1,28,"2","4",-16.5635477112323,-71.4586454799001,"2",NA,NA,NA,NA
"1.28.2.5",1,28,"2","5",-16.5634102345348,-71.4584472222222,"2",NA,NA,NA,NA
"1.28.2.6",1,28,"2","6",-16.5635608305889,-71.4583055555555,"2",NA,NA,NA,NA
"1.28.2.7",1,28,"2","7",-16.5639543739315,-71.4583505495029,"3",NA,NA,NA,NA
