"","x"
"1","1.1.1.204A"
"2","1.1.1.204A"
"3","1.1.1.211A"
"4","1.1.1.213A"
"5","1.1.1.213A"
"6","1.1.1.222A"
"7","1.1.1.233A"
"8","1.1.1.326A"
"9","1.1.1.326A"
"10","1.1.1.352A"
"11","1.1.1.352A"
"12","1.1.1.355A"
"13","1.1.1.355A"
"14","1.1.1.363A"
"15","1.1.1.363A"
"16","1.1.1.363B"
"17","1.1.1.363B"
"18","1.1.1.373A"
"19","1.1.1.373A"
"20","1.1.1.375A"
"21","1.1.1.375A"
"22","1.1.1.376A"
"23","1.1.1.376A"
"24","1.1.1.376B"
"25","1.1.1.376B"
"26","1.1.1.377A"
"27","1.1.1.377A"
"28","1.1.1.382A"
"29","1.1.1.388A"
"30","1.1.1.389A"
"31","1.1.1.404A"
"32","1.1.1.404A"
"33","1.1.1.404B"
"34","1.1.1.404B"
"35","1.1.1.413A"
"36","1.1.1.417A"
"37","1.1.1.419A"
"38","1.1.1.422A"
"39","1.1.1.422A"
"40","1.1.1.424A"
"41","1.1.10.225A"
"42","1.1.10.231A"
"43","1.1.10.231A"
"44","1.1.10.375A"
"45","1.1.10.414A"
"46","1.1.10.414A"
"47","1.1.10.423A"
"48","1.1.10.423A"
"49","1.1.13.76A"
"50","1.1.13.76A"
"51","1.1.13.8A"
"52","1.1.13.8A"
"53","1.1.13.91A"
"54","1.1.13.91A"
"55","1.1.14.11A"
"56","1.1.14.11A"
"57","1.1.14.164A"
"58","1.1.14.164A"
"59","1.1.14.20A"
"60","1.1.14.20B"
"61","1.1.14.20C"
"62","1.1.14.216A"
"63","1.1.14.216A"
"64","1.1.14.217A"
"65","1.1.14.234A"
"66","1.1.14.234A"
"67","1.1.15.47A"
"68","1.1.15.47A"
"69","1.1.15.47A"
"70","1.1.2.150A"
"71","1.1.2.150A"
"72","1.1.2.164A"
"73","1.1.2.164A"
"74","1.1.2.175A"
"75","1.1.2.175A"
"76","1.1.2.181A"
"77","1.1.2.184A"
"78","1.1.2.184A"
"79","1.1.2.184B"
"80","1.1.2.184B"
"81","1.1.2.287A"
"82","1.1.2.298A"
"83","1.1.2.2A"
"84","1.1.2.6A"
"85","1.1.2.76A"
"86","1.1.2.90A"
"87","1.1.2.90A"
"88","1.1.22.11A"
"89","1.1.22.14A"
"90","1.1.22.14B"
"91","1.1.22.14B"
"92","1.1.22.14C"
"93","1.1.22.14C"
"94","1.1.22.15A"
"95","1.1.22.15A"
"96","1.1.22.15B"
"97","1.1.22.15B"
"98","1.1.22.160A"
"99","1.1.22.160A"
"100","1.1.22.176A"
"101","1.1.22.176A"
"102","1.1.22.55A"
"103","1.1.22.55A"
"104","1.1.22.55B"
"105","1.1.22.55B"
"106","1.1.22.56A"
"107","1.1.22.56A"
"108","1.1.22.61A"
"109","1.1.22.61A"
"110","1.1.22.72A"
"111","1.1.22.72A"
"112","1.1.22.76A"
"113","1.1.22.76A"
"114","1.1.22.76B"
"115","1.1.22.76B"
"116","1.1.22.91A"
"117","1.1.22.91A"
"118","1.1.22.93A"
"119","1.1.22.93A"
"120","1.1.23.10A"
"121","1.1.23.10A"
"122","1.1.23.133A"
"123","1.1.23.133A"
"124","1.1.23.20A"
"125","1.1.23.20A"
"126","1.1.23.20B"
"127","1.1.23.20B"
"128","1.1.23.4A"
"129","1.1.23.4A"
"130","1.1.23.57A"
"131","1.1.23.57A"
"132","1.1.23.67A"
"133","1.1.23.67A"
"134","1.1.23.74A"
"135","1.1.23.74A"
"136","1.1.26.117A"
"137","1.1.26.117A"
"138","1.1.26.123A"
"139","1.1.26.123A"
"140","1.1.26.186A"
"141","1.1.26.186A"
"142","1.1.26.55A"
"143","1.1.26.56A"
"144","1.1.26.56B"
"145","1.1.26.6A"
"146","1.1.26.6A"
"147","1.1.26.89A"
"148","1.1.26.89A"
"149","1.1.29.111A"
"150","1.1.29.111A"
"151","1.1.29.112A"
"152","1.1.29.112A"
"153","1.1.29.116A"
"154","1.1.29.121A"
"155","1.1.29.121A"
"156","1.1.29.13A"
"157","1.1.29.30A"
"158","1.1.29.30A"
"159","1.1.29.3A"
"160","1.1.29.3A"
"161","1.1.3.353A"
"162","1.1.3.353A"
"163","1.1.3.353B"
"164","1.1.3.353B"
"165","1.1.3.353C"
"166","1.1.3.353C"
"167","1.1.3.361A"
"168","1.1.3.362A"
"169","1.1.3.362A"
"170","1.1.3.362B"
"171","1.1.3.362B"
"172","1.1.3.371A"
"173","1.1.3.371A"
"174","1.1.3.440A"
"175","1.1.3.440A"
"176","1.1.3.440B"
"177","1.1.3.441A"
"178","1.1.3.441B"
"179","1.1.3.441B"
"180","1.1.3.446A"
"181","1.1.3.446A"
"182","1.1.3.466A"
"183","1.1.3.666A"
"184","1.1.3.673A"
"185","1.1.3.673A"
"186","1.1.3.673B"
"187","1.1.3.673B"
"188","1.1.3.679A"
"189","1.1.3.679A"
"190","1.1.3.679B"
"191","1.1.3.679B"
"192","1.1.3.683A"
"193","1.1.3.683A"
"194","1.1.3.694A"
"195","1.1.3.694B"
"196","1.1.3.694C"
"197","1.1.3.694C"
"198","1.1.3.698A"
"199","1.1.3.698A"
"200","1.1.3.710A"
"201","1.1.3.710A"
"202","1.1.3.710B"
"203","1.1.3.710B"
"204","1.1.3.710C"
"205","1.1.3.710C"
"206","1.1.3.710D"
"207","1.1.3.710D"
"208","1.1.3.769A"
"209","1.1.3.769A"
"210","1.1.3.769B"
"211","1.1.3.769B"
"212","1.1.3.775A"
"213","1.1.3.775A"
"214","1.1.3.775B"
"215","1.1.3.775B"
"216","1.1.3.775C"
"217","1.1.3.775C"
"218","1.1.3.776A"
"219","1.1.3.776A"
"220","1.1.3.819A"
"221","1.1.3.819A"
"222","1.1.3.825A"
"223","1.1.3.825A"
"224","1.1.3.950A"
"225","1.1.3.950A"
"226","1.1.34.118A"
"227","1.1.34.118A"
"228","1.1.34.122A"
"229","1.1.34.122A"
"230","1.1.34.128A"
"231","1.1.34.128A"
"232","1.1.34.154A"
"233","1.1.34.154A"
"234","1.1.34.162A"
"235","1.1.34.166A"
"236","1.1.34.166A"
"237","1.1.34.192A"
"238","1.1.34.192A"
"239","1.1.34.195A"
"240","1.1.34.195A"
"241","1.1.34.197A"
"242","1.1.34.197A"
"243","1.1.34.19A"
"244","1.1.34.19A"
"245","1.1.34.203A"
"246","1.1.34.203A"
"247","1.1.34.219A"
"248","1.1.34.219A"
"249","1.1.34.225A"
"250","1.1.34.225A"
"251","1.1.34.231A"
"252","1.1.34.231A"
"253","1.1.34.234A"
"254","1.1.34.234A"
"255","1.1.34.23A"
"256","1.1.34.23A"
"257","1.1.34.241A"
"258","1.1.34.241A"
"259","1.1.34.246A"
"260","1.1.34.246A"
"261","1.1.34.274A"
"262","1.1.34.279A"
"263","1.1.34.279A"
"264","1.1.34.282A"
"265","1.1.34.282A"
"266","1.1.34.282B"
"267","1.1.34.282B"
"268","1.1.34.284A"
"269","1.1.34.285A"
"270","1.1.34.285A"
"271","1.1.34.285B"
"272","1.1.34.285B"
"273","1.1.34.285C"
"274","1.1.34.285C"
"275","1.1.34.285D"
"276","1.1.34.290A"
"277","1.1.34.290A"
"278","1.1.34.290B"
"279","1.1.34.290B"
"280","1.1.34.290C"
"281","1.1.34.290C"
