UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.24.4.18,0,0,23/08/2004,1,1,0,0,0,0,0,,
1.24.5.220,0,0,18/08/2004,1,0,1,0,0,0,0,,
1.24.3.52,0,10+,27/08/2004,1,1,0,0,0,0,0,,
1.24.3.53,0,0,01/09/2004,1,0,0,0,1,0,0,,
1.24.13A.1,0,0,25/08/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.13A.2,0,0,25/08/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.13A.3,0,0,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.4,0,0,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.5,0,0,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.6,0,0,25/08/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.13A.7,0,10+,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.8,2,0,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.9,0,0,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.10,0,0,25/08/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.13A.11,0,0,25/08/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.12,0,0,15/09/2004,1,0,0,0,0,0,0,,con letras la manzana
1.24.13A.13,0,0,15/09/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.13A.14,0,0,15/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.15,0,0,15/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.16,0,0,15/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.17,0,0,15/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.18,0,0,15/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.13A.19,0,0,25/08/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.3A.1,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.2,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.3,0,0,02/09/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.3A.4,0,0,02/09/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.3A.5,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.6,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.7,0,0,02/09/2004,1,0,0,0,0,0,0,,con letras la manzana
1.24.3A.8,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.9,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.10,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.11,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.12,0,0,02/09/2004,1,0,0,0,1,0,0,,con letras la manzana
1.24.3A.13,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
1.24.3A.14,0,0,02/09/2004,1,1,0,0,0,0,0,,con letras la manzana
