UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.1.25.59A,0,0,0,2,0,0,1,0,0,0,,
1.1.25.62A,0,0,0,2,0,0,1,0,0,0,,
1.1.27.148A,0,0,0,1,0,0,1,0,0,0,,
1.1.27.27A,0,0,0,2,0,0,1,0,0,0,,
1.1.27.84A,0,0,0,2,0,1,0,0,0,0,,
1.1.34.24A,0,0,0,2,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.24B,0,0,0,2,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.364A,0,0,0,1,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.364A,0,0,0,2,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.364B,0,0,0,2,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.431A,0,0,0,2,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.508A,0,0,0,2,0,0,1,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.34.656A,0,0,0,2,0,1,0,0,0,0,,hay que correr el file de aqp google y encontrar la sdadicionadas 
1.1.36.60A,0,0,0,2,0,0,1,0,0,0,,
1.1.78.113A,0,0,0,2,0,0,1,0,0,0,,
1.1.82.33A,0,0,0,2,0,0,1,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.10,0,0,0,1,0,1,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.11,0,0,0,1,0,1,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.12,0,0,0,1,0,1,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.30,0,0,0,2,0,0,1,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.31,0,0,0,1,0,0,1,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.4,0,0,0,1,0,0,1,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.87.366,0,0,0,2,0,0,1,0,0,0,,MAPA ACTUALIZADO POR MINSA 
1.1.87.376,0,0,0,1,0,1,0,0,0,0,,MAPA ACTUALIZADO POR MINSA 
1.1.87.380,0,0,0,1,0,0,1,0,0,0,,MAPA ACTUALIZADO POR MINSA 
1.1.87.380,0,0,0,2,0,1,0,0,0,0,,MAPA ACTUALIZADO POR MINSA 
1.1.87.382,0,0,0,2,0,1,0,0,0,0,,MAPA ACTUALIZADO POR MINSA 
1.1.87.383,0,0,0,2,0,1,0,0,0,0,,MAPA ACTUALIZADO POR MINSA 
1.1.34.120A,,0,09/08/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.36.60A,,0,09/03/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.45.37A,,0,09/08/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.45.37B,,0,09/12/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.22.89A,,0,09/16/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.256A,,0,09/14/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.343A,,0,09/22/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.508A,,0,09/25/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.656A,,0,09/26/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.24A,,0,10/08/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.431A,,0,10/14/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.26.96A,,0,10/20/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.34.364B,,0,10/20/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.25.1A,,0,10/21/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.25.49A,,0,10/22/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.25.23A,,0,10/22/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.25.59A,,0,10/26/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.282A,,0,10/23/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.276A,,0,10/30/14,2,1,0,0,0,0,0,,ADICIONALES 
1.1.78.240A,,0,11/03/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.148B,,0,11/04/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.205A,,0,11/04/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.95A,,0,11/06/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.42A,,0,11/10/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.84A,,0,11/10/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.79A,,0,11/10/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.27.224A,,0,11/05/2014,2,1,0,0,0,0,0,,ADICIONALES 
1.1.83.17,,0,11/06/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.23,,0,11/07/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.22,,0,11/07/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.24,,0,11/10/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.20,8,0,11/10/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.16,,0,11/10/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.28,,0,11/10/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.19,,0,11/10/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.18,,0,11/10/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.7,,0,11/11/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.6,,0,11/11/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.3,,0,11/11/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.1A,,0,11/11/2014,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.34.518A,,0,11/13/14,2,1,0,0,0,0,0,,
1.1.25.62A,,0,11/16/14,2,1,0,0,0,0,0,,
1.1.78.434A,1,0,11/19/14,2,1,0,0,0,0,0,,
1.1.83.2,,0,11/21/14,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.8,,0,11/21/14,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.9,,0,11/21/14,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.83.9A,,0,11/21/14,2,1,0,0,0,0,0,,NOMBRE EN VES DE NUEMRO 
1.1.27.27A,,0,11/30/14,2,1,0,0,0,0,0,,
