UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,,
1.3.46.88,0,0,0,1,0,0,0,1,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.91,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.93,0,0,0,1,0,1,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.303,0,0,0,1,0,1,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.305,0,0,0,1,0,1,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.306,0,0,0,1,0,1,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.307,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.311,0,0,0,1,0,1,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.315,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.316,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.317,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.318,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.324,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.331,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.332,0,0,0,1,0,0,0,1,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.334,0,0,0,1,0,0,1,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.336,0,0,0,1,0,0,0,1,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.337,0,0,0,1,0,1,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
