UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.5.11.627,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.628,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.630,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.632,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.633,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.635,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.637,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.638,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.639,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.640,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.641,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.643,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.644,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.645,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.646,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.648,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.649,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.651,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.652,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.653,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.654,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.656,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.657,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.662,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.664,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.665,0,0,0,1,0,0,0,0,0,1,,MINSA
1.5.11.666,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.667,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.668,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.670,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.671,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.672,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.673,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.674,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.675,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.676,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.677,0,0,0,1,0,0,0,1,0,0,,MINSA
