"UNICODE","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.7.24.364",0,0,"2003-10-21",1,0,0,0,1,0,0
"1.7.49.240",0,0,"2004-04-28",1,1,0,0,0,0,0
"1.7.44.s/n",0,0,"2004-05-12",1,1,0,0,0,0,0
"1.7.37.95",0,0,"2004-01-07",1,1,0,0,0,0,0
"1.7.11.0",0,0,"2003-10-28",1,1,0,0,0,0,0
"1.7.10.115",0,0,"2003-10-08",1,0,0,1,0,0,0
"1.7.8.178A",0,0,"2003-09-15",1,1,0,0,0,0,0
"1.7.8.SN",0,0,"2003-09-10",1,1,0,0,0,0,0
"1.7.8A.518",2,0,"2003-12-12",1,1,0,0,0,0,0
"1.7.8A.519",0,0,"2003-12-12",1,1,0,0,0,0,0
"1.7.18.29",0,0,"2003-09-18",1,1,0,0,0,0,0
"1.7.20.85",0,0,"2003-09-23",1,0,0,1,0,0,0
"1.7.8A.180A",0,0,"2003-11-21",1,1,0,0,0,0,0
"1.7.24.S/N",0,0,"2003-12-23",1,1,0,0,0,0,0
"1.7.4.0",0,0,"2003-10-27",1,1,0,0,0,0,0
"1.7.10.115",0,0,"2004-06-28",2,1,0,0,0,0,0
"1.7.18.29",0,0,"2004-06-16",2,1,0,0,0,0,0
"1.7.24.364",0,0,"2004-07-14",2,0,0,0,1,0,0
"1.7.8A.181",0,0,"2004-08-19",2,0,0,0,0,1,0
"1.7.37.95",0,0,"2004-09-29",2,1,0,0,0,0,0
"1.7.8.401",0,0,"2004-10-16",2,1,0,0,0,0,0
"1.7.8.178A",0,0,"2004-06-02",2,1,0,0,0,0,0
"1.7.20.85",0,0,"2004-06-11",2,0,0,1,0,0,0
"1.7.1.64B",0,0,"2004-12-11",2,1,0,0,0,0,0
"1.7.8A.518",0,0,"2004-09-06",2,1,0,0,0,0,0
"1.7.8A.519",0,0,"2004-09-06",2,1,0,0,0,0,0
"1.7.8A.180A",0,0,"2004-08-17",2,1,0,0,0,0,0
"1.7.42A.76",0,0,"2005-01-30",2,0,0,0,1,0,0
