UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.9.18.37,0,0,11/09/2008,1,1,0,0,0,0,0,,
1.9.23.2,0,0,25/10/2008,1,1,0,0,0,0,0,,
1.9.17.1,0,10+,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.2,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.3,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.4,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.5,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.6,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.7,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.8,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.9,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.10,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.11,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.12,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.13,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.14,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.15,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.16,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.17,0,0,21/10/2008,1,0,0,1,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.1,0,0,22/10/2008,1,0,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.2,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.18,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.19,0,0,20/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.20,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.21,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.3,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.22,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.23,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.24,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17.25,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.4,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.5,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
