UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,,
1.18.4A.1,0,0,29/04/2005,1,0,0,1,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.2,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.3,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.4,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.5,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.6,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.7,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.8,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.9,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.10,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.11,0,0,29/04/2005,1,0,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.12,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.13,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.14,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.15,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.16,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.17,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.18,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.19,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.20,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.21,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.22,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.23,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.24,0,0,29/04/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.25,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.26,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.4A.27,0,0,29/04/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.1.287,0,0,03/12/2004,1,1,0,0,0,0,0,,,,,
1.18.12.54,1,5,09/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,hay para delimitar poligonos 
1.18.11.1,0,2,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.2,1,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.3,0,0,19/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.4,3,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.5,1,0,19/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.6,0,0,19/05/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.7,0,10+,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.8,0,0,18/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.9,2,14,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.10,2,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.11,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.12,0,10+,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.13,0,10+,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.14,0,0,19/05/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.15,0,0,19/05/2005,1,0,0,0,1,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.16,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.17,0,0,16/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.18,1,0,16/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.19,0,0,16/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.20,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.21,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.22,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.23,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.24,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.25,0,0,17/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.26,0,0,16/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
1.18.11.27,0,0,16/05/2005,1,1,0,0,0,0,0,,nobre dela manzana esta con letras ,,,
