UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.25.1.444A,2,0,19/10/2005,1,1,0,0,0,0,0,,
1.25.1.811A,2,0,23/09/2005,1,1,0,0,0,0,0,,
1.25.6.1,0,0,22/11/2005,1,1,0,0,0,0,0,,
1.25.6.19,0,0,23/11/2005,1,1,0,0,0,0,0,,
1.25.8.66A,0,0,03/03/2006,1,1,0,0,0,0,0,,
1.25.3.204A,0,0,11/10/2005,1,1,0,0,0,0,0,,
1.25.4A.533,0,0,17/04/2006,1,1,0,0,0,0,0,,
1.25.10.300,0,0,30/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.301,0,0,04/07/2006,1,0,1,0,0,0,0,,actualizacion MINSA
1.25.10.302,0,0,05/06/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.303,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.304,0,0,30/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.305,0,0,04/07/2006,1,0,1,0,0,0,0,,actualizacion MINSA
1.25.10.306,0,0,30/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.307,0,0,30/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.308,0,0,04/07/2006,1,0,1,0,0,0,0,,actualizacion MINSA
1.25.10.309,0,0,30/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.310,0,0,30/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.311,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.312,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.313,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.314,0,0,04/07/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.315,0,0,04/07/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.316,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.317,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.318,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.319,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.320,0,0,01/06/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.321,0,0,01/06/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.322,0,0,04/07/2006,1,0,0,0,1,0,0,,actualizacion MINSA
1.25.10.323,0,0,04/07/2006,1,0,0,1,0,0,0,,actualizacion MINSA
1.25.10.324,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.325,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.326,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.327,0,0,04/07/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.328,0,0,04/07/2006,1,0,0,1,0,0,0,,actualizacion MINSA
1.25.10.329,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.330,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.10.331,0,0,04/07/2006,1,0,1,0,0,0,0,,actualizacion MINSA
1.25.10.332,0,0,31/05/2006,1,1,0,0,0,0,0,,actualizacion MINSA
1.25.32.29,0,0,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.30,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.31,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
