UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,
1.23.1.109,0,0,26/07/2005,1,1,0,0,0,0,0,,,,
1.23.1.110,0,0,03/08/2005,1,0,0,1,0,0,0,,,,
1.23.1.112,0,0,01/08/2005,1,1,0,0,0,0,0,,,,
1.23.1.119,0,0,03/08/2005,1,1,0,0,0,0,0,,,,
1.23.15.71,0,0,10/08/2005,1,1,0,0,0,0,0,,,,
1.23.20.1,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,"SI TENEMOS CROQUIS Y SON APROX ,574"
1.23.20.2,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.3,0,0,19/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.4,0,0,19/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.5,0,0,11/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.6,0,0,11/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.7,0,0,11/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.8,0,0,11/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.9,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.10,0,0,11/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.11,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.12,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.13,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.14,5,10+,12/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.15,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.16,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.17,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.18,0,0,12/08/2005,1,1,0,0,0,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.19,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.20,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.20.21,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTOS ,,
1.23.2.47,0,0,04/08/2005,1,1,0,0,0,0,0,,,,
1.23.5.56,0,0,19/08/2005,1,0,0,0,1,0,0,,,,
1.23.5.57,0,0,18/08/2005,1,1,0,0,0,0,0,,,,
1.23.20.22,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTO,,
1.23.20.23,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTO,,
1.23.20.24,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTO,,
1.23.20.25,0,0,19/08/2005,1,0,0,0,1,0,0,,HAY QUE PONER PUNTO,,
1.23.25.1,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.2,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.3,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.4,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.5,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.6,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.7,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.8,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.9,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.10,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.11,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.12,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.13,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.14,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.15,2,10+,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.16,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.17,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.18,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.19,0,0,29/08/2005,1,0,0,0,1,0,0,, tiene letras el poligono,,
1.23.25.20,0,10,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.25.21,0,0,26/08/2005,1,1,0,0,0,0,0,, tiene letras el poligono,,
1.23.20.26,0,0,19/08/2005,1,0,0,0,1,0,0,,AÑADIR PUNTOS,,
1.23.20.27,0,0,19/08/2005,1,0,0,0,1,0,0,,AÑADIR PUNTOS,,
1.23.20.28,0,0,19/08/2005,1,0,0,0,1,0,0,,AÑADIR PUNTOS,,
1.23.20.29,0,0,19/08/2005,1,0,0,0,1,0,0,,AÑADIR PUNTOS,,
1.23.20.30,0,0,19/08/2005,1,0,0,0,1,0,0,,AÑADIR PUNTOS,,
1.23.20.31,0,0,19/08/2005,1,0,0,1,0,0,0,,AÑADIR PUNTOS,,
1.23.20.32,0,0,12/08/2005,1,1,0,0,0,0,0,,AÑADIR PUNTOS,,
