UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.28.3.200,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.200,0,0,0,2,0,1,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.204,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.204,0,0,0,2,0,0,1,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.206,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.206,0,0,0,2,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.207,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.207,0,0,0,2,0,0,1,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.208,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.208,0,0,0,2,0,1,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.209,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.209,0,0,0,2,0,0,1,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.210,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.210,0,0,0,2,0,0,1,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.211,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.211,0,0,0,2,0,0,1,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.212,0,0,0,1,0,0,0,1,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.212,0,0,0,2,0,0,1,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.5.141,0,0,0,1,0,0,0,1,0,0,,
1.28.5.142,0,0,0,1,0,0,0,1,0,0,,
1.28.5.36,0,0,0,1,0,0,1,0,0,0,,
1.28.5.86,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.87,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.88,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.89,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.90,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.91,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.92,0,0,0,1,0,0,0,1,0,0,,NO TIENE MANZANA
1.28.5.99,0,0,0,1,0,0,0,0,0,1,,se movio punto 
1.28.3.203,,0,05/21/09,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.205,,0,05/21/09,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.201,,0,05/22/09,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.202,,0,05/22/09,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.199,,0,05/22/09,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.201,,0,10/05/2009,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.202,,0,10/05/2009,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.203,,0,10/12/2009,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.205,,0,10/12/2009,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
1.28.3.199,,0,10/14/09,2,1,0,0,0,0,0,,SOLO TENEMOS 198 PUNTOS NO CROQUIS ACTUALIZADO 
