"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.18.1.111",1,"18","1","111",-16.4370201597808,-71.5899345378567,NA
"1.18.1.112",1,"18","1","112",-16.4369623577788,-71.5900055639459,NA
"1.18.1.113",1,"18","1","113",-16.4368901053044,-71.590078742216,NA
"1.18.1.114",1,"18","1","114",-16.4368095952684,-71.590179900414,NA
"1.18.1.151",1,"18","1","151",-16.4371390283681,-71.589869697889,NA
"1.18.1.152",1,"18","1","152",-16.4372814788213,-71.5897386507829,NA
"1.18.1.8",1,"18","1","8",-16.4385336885479,-71.5906851428167,NA
"1.18.2.25",1,"18","2","25",-16.4394395381768,-71.590359329491,NA
"1.18.2.40",1,"18","2","40",-16.4383146008701,-71.5895519931502,NA
"1.18.2.43",1,"18","2","43",-16.4383075839913,-71.5893142244848,NA
"1.18.3.14",1,"18","3","14",-16.4439572972228,-71.5770300322679,NA
"1.18.3.28",1,"18","3","28",-16.4424835699162,-71.5771488944787,NA
"1.18.3.29",1,"18","3","29",-16.4423085477693,-71.5772969646013,NA
"1.18.3.30",1,"18","3","30",-16.4421209783661,-71.5774695112566,NA
"1.18.3.31",1,"18","3","31",-16.4419900905438,-71.577573899489,NA
"1.18.3.32",1,"18","3","32",-16.4418898285113,-71.5776621513285,NA
"1.18.3.33",1,"18","3","33",-16.4418050514525,-71.5777480006279,NA
"1.18.3.28A",1,"18","3","28A",-16.4424835699162,-71.5771488944787,NA
"1.18.4.100",1,"18","4","100",-16.4410172197468,-71.5787257532065,NA
"1.18.4.101",1,"18","4","101",-16.4408005187303,-71.5787337342074,NA
"1.18.4.118",1,"18","4","118",-16.4406827939678,-71.5787990982035,NA
"1.18.4.119",1,"18","4","119",-16.440437443143,-71.5789511577583,NA
"1.18.4.12",1,"18","4","12",-16.4434182859211,-71.5775018083183,NA
"1.18.4.139",1,"18","4","139",-16.440056587733,-71.5796989605871,NA
"1.18.4.142",1,"18","4","142",-16.4405636482964,-71.5795178156079,NA
"1.18.4.143",1,"18","4","143",-16.4402322558321,-71.5796460215165,NA
"1.18.4.144",1,"18","4","144",-16.4407032167025,-71.5794449568805,NA
"1.18.4.20",1,"18","4","20",-16.4424747484172,-71.5774967673435,NA
"1.18.4.252",1,"18","4","252",-16.4414712279546,-71.5802793900816,NA
"1.18.4.284",1,"18","4","284",-16.4416274609646,-71.5798182422543,NA
"1.18.4.29",1,"18","4","29",-16.4431207629589,-71.5780008241652,NA
"1.18.4.43",1,"18","4","43",-16.4426985768427,-71.5783729492796,NA
"1.18.4.53",1,"18","4","53",-16.4420183879098,-71.5778626701139,NA
"1.18.4.54",1,"18","4","54",-16.4421169199137,-71.5777957305105,NA
"1.18.4.55",1,"18","4","55",-16.4421784050018,-71.5777368910939,NA
"1.18.4.66",1,"18","4","66",-16.4421014204206,-71.5788038134014,NA
"1.18.4.7",1,"18","4","7",-16.4435612409394,-71.5774878079085,NA
"1.18.4.75",1,"18","4","75",-16.4417021483608,-71.5780099621771,NA
"1.18.4.76",1,"18","4","76",-16.4418886745761,-71.5779414053704,NA
"1.18.4.93",1,"18","4","93",-16.4411655267652,-71.5787384988081,NA
"1.18.5.16",1,"18","5","16",-16.439828407743,-71.5796424303923,NA
"1.18.5.22",1,"18","5","22",-16.4396452913025,-71.579956914758,NA
"1.18.5.30",1,"18","5","30",-16.4398232420065,-71.5804863896577,NA
"1.18.5.56",1,"18","5","56",-16.4373378630306,-71.5812728927254,NA
