"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.25.1.1",1,25,"1","1",-16.4301330920046,-71.536075123744,NA
"1.25.4A.209",1,25,"4A","209",-16.4451369430974,-71.5221461454883,NA
"1.25.6.117",1,25,"6","117",-16.44410403249,-71.5216932631384,NA
"1.25.6.132",1,25,"6","132",-16.4433880756404,-71.5219548372633,NA
"1.25.6.84",1,25,"6","84",-16.4445253193755,-71.5233593301866,NA
"1.25.8.43",1,25,"8","43",-16.4442862991408,-71.5268575717222,NA
"1.25.8.44",1,25,"8","44",-16.4442997090644,-71.5273585879112,NA
"1.25.9.35",1,25,"9","35",-16.445717380589,-71.528843467721,NA
"1.25.10.26",1,25,"10","26",-16.4510042589993,-71.5307173820157,NA
"1.25.13.1",1,25,"13","1",-16.4516843009641,-71.5274141313489,NA
"1.25.14.178",1,25,"14","178",-16.4613642669674,-71.5198319883388,NA
"1.25.14.44",1,25,"14","44",-16.4621172564217,-71.5250195500571,NA
"1.25.14.53",1,25,"14","53",-16.4622079892972,-71.5250942190472,NA
"1.25.14.70",1,25,"14","70",-16.4623672430598,-71.5244160688784,NA
"1.25.15.1",1,25,"15","1",-16.4607182517205,-71.5199869537146,NA
"1.25.17.1",1,25,"17","1",-16.4614518755797,-71.5383952637848,NA
"1.25.17.2",1,25,"17","2",-16.4613237088489,-71.5389263066878,NA
"1.25.21.248",1,25,"21","248",-16.4524079305746,-71.5351076056406,NA
"1.25.21.251",1,25,"21","251",-16.4522878963672,-71.5353914531209,NA
"1.25.21.703",1,25,"21","703",-16.4505968124961,-71.5404025151786,NA
"1.25.26.631",1,25,"26","631",-16.4831608939481,-71.5020688290786,NA
"1.25.26.797",1,25,"26","797",-16.4829713084663,-71.5091855830564,NA
"1.25.26.798",1,25,"26","798",-16.4826083647156,-71.5088555243285,NA
"1.25.28.42",1,25,"28","42",-16.4878505580616,-71.5090002012568,NA
"1.25.28.51",1,25,"28","51",-16.4877428370513,-71.5095552470807,NA
"1.25.28.73",1,25,"28","73",-16.4878751801823,-71.5105840138546,NA
"1.25.28.89",1,25,"28","89",-16.4886051646251,-71.5118052212812,NA
"1.25.28.92",1,25,"28","92",-16.4882622873683,-71.5117882158176,NA
"1.25.28.93",1,25,"28","93",-16.4880744675217,-71.5118407805217,NA
"1.25.28.94",1,25,"28","94",-16.4879862819341,-71.5118336199643,NA
"1.25.29.68",1,25,"29","68",-16.4775129087531,-71.5297215494479,NA
"1.25.34.748",1,25,"34","748",-16.4584439720564,-71.5204822392138,NA
"1.25.37.100",1,25,"37","100",-16.4567342542532,-71.5207106704367,NA
"1.25.37.101",1,25,"37","101",-16.4566063147157,-71.5208207287926,NA
"1.25.37.102",1,25,"37","102",-16.4565188421439,-71.5208740905204,NA
"1.25.37.103",1,25,"37","103",-16.4564676662266,-71.5209391248356,NA
"1.25.37.104",1,25,"37","104",-16.4564148911403,-71.5209891511314,NA
"1.25.37.105",1,25,"37","105",-16.4563589175899,-71.521037509822,NA
"1.25.37.106",1,25,"37","106",-16.4563093410949,-71.5210608552851,NA
"1.25.37.107",1,25,"37","107",-16.4562357758292,-71.5211275568667,NA
"1.25.37.108",1,25,"37","108",-16.456119031003,-71.5212025959512,NA
"1.25.37.109",1,25,"37","109",-16.4560438668062,-71.5211342262222,NA
"1.25.37.110",1,25,"37","110",-16.4559719013103,-71.5210558511767,NA
"1.25.37.111",1,25,"37","111",-16.4560838484927,-71.5209257827116,NA
"1.25.37.112",1,25,"37","112",-16.4561398219854,-71.5208890968666,NA
"1.25.37.113",1,25,"37","113",-16.4561957954669,-71.5208507434668,NA
"1.25.37.114",1,25,"37","114",-16.4562501696782,-71.5208207277872,NA
"1.25.37.115",1,25,"37","115",-16.4563045439845,-71.5207556935776,NA
"1.25.37.116",1,25,"37","116",-16.4563701129441,-71.5207023321921,NA
"1.25.37.117",1,25,"37","117",-16.4570924344918,-71.5202871548508,NA
"1.25.37.118",1,25,"37","118",-16.4570332626593,-71.5202354606323,NA
"1.25.37.119",1,25,"37","119",-16.4569788885412,-71.5201887691155,NA
"1.25.37.120",1,25,"37","120",-16.4569261136513,-71.5201454127303,NA
"1.25.37.121",1,25,"37","121",-16.4568733387482,-71.5201120616802,NA
"1.25.37.122",1,25,"37","122",-16.4568221630555,-71.5200703728703,NA
"1.25.37.123",1,25,"37","123",-16.4567789834859,-71.5200270163359,NA
"1.25.37.124",1,25,"37","124",-16.4567358039495,-71.5199819925149,NA
"1.25.37.125",1,25,"37","125",-16.4566910251335,-71.5199336334456,NA
"1.25.37.126",1,25,"37","126",-16.4566366506916,-71.5198902771753,NA
"1.25.37.127",1,25,"37","127",-16.4565806771907,-71.5198385831214,NA
"1.25.37.128",1,25,"37","128",-16.4565311005848,-71.5197818864858,NA
"1.25.37.129",1,25,"37","129",-16.4564791079756,-71.5197306009183,NA
"1.25.37.130",1,25,"37","130",-16.4564391268613,-71.5196739043382,NA
"1.25.37.131",1,25,"37","131",-16.4563895503139,-71.5196205429084,NA
"1.25.37.132",1,25,"37","132",-16.4563431722204,-71.5195638463863,NA
"1.25.37.133",1,25,"37","133",-16.4562887978999,-71.5195054823474,NA
"1.25.37.134",1,25,"37","134",-16.4562120340142,-71.5194070971798,NA
"1.25.37.135",1,25,"37","135",-16.4562728047152,-71.5193103789468,NA
"1.25.37.14",1,25,"37","14",-16.4557001269452,-71.5198419502621,NA
"1.25.37.15",1,25,"37","15",-16.4558347299748,-71.5197584070209,NA
"1.25.37.16",1,25,"37","16",-16.4558973263872,-71.5197183589207,NA
"1.25.37.17",1,25,"37","17",-16.4559462223533,-71.5196892248084,NA
"1.25.37.18",1,25,"37","18",-16.4560300439816,-71.5196382400983,NA
"1.25.37.19",1,25,"37","19",-16.4560839293054,-71.5196018224397,NA
"1.25.37.20",1,25,"37","20",-16.4561577721753,-71.519544594678,NA
"1.25.37.21",1,25,"37","21",-16.4562929465357,-71.5197223273063,NA
"1.25.37.22",1,25,"37","22",-16.4562088604559,-71.5197972778484,NA
"1.25.37.23",1,25,"37","23",-16.4561641049877,-71.5198269752148,NA
"1.25.37.24",1,25,"37","24",-16.4561207057828,-71.519866571631,NA
"1.25.37.25",1,25,"37","25",-16.4560244137929,-71.5199231379386,NA
"1.25.37.26",1,25,"37","26",-16.4559538900854,-71.5199542494014,NA
"1.25.37.27",1,25,"37","27",-16.4558114864108,-71.5200376845978,NA
"1.25.37.28",1,25,"37","28",-16.4557802931538,-71.5199740477835,NA
"1.25.37.29",1,25,"37","29",-16.4557341813549,-71.5198990978141,NA
"1.25.37.30",1,25,"37","30",-16.4559444630882,-71.520207929299,NA
"1.25.37.31",1,25,"37","31",-16.4561066541412,-71.5200638652914,NA
"1.25.37.32",1,25,"37","32",-16.4561487036364,-71.5200278492285,NA
"1.25.37.33",1,25,"37","33",-16.4562042690287,-71.5199777398697,NA
"1.25.37.34",1,25,"37","34",-16.456265841498,-71.5199260645113,NA
"1.25.37.35",1,25,"37","35",-16.4563229086892,-71.5198853505104,NA
"1.25.37.36",1,25,"37","36",-16.456382979442,-71.5198415045827,NA
"1.25.37.37",1,25,"37","37",-16.4565256477171,-71.5199980963176,NA
"1.25.37.38",1,25,"37","38",-16.4564926200275,-71.5200497551691,NA
"1.25.37.39",1,25,"37","39",-16.4564505682386,-71.52008577324,NA
"1.25.37.40",1,25,"37","40",-16.4564055127523,-71.5201123952817,NA
"1.25.37.41",1,25,"37","41",-16.4563604572743,-71.520156243302,NA
"1.25.37.42",1,25,"37","42",-16.4562958777415,-71.5201969592982,NA
"1.25.37.43",1,25,"37","43",-16.4562297963309,-71.520267429247,NA
"1.25.37.44",1,25,"37","44",-16.4560705999859,-71.520389577112,NA
"1.25.37.45",1,25,"37","45",-16.4560270463206,-71.5203332011482,NA
"1.25.37.46",1,25,"37","46",-16.45598799817,-71.5202768252033,NA
"1.25.37.47",1,25,"37","47",-16.4559872424638,-71.5204642336497,NA
"1.25.37.48",1,25,"37","48",-16.4559380550608,-71.520520406378,NA
"1.25.37.49",1,25,"37","49",-16.4558818234451,-71.5205626520493,NA
"1.25.37.50",1,25,"37","50",-16.4558194530297,-71.5206160133438,NA
"1.25.37.51",1,25,"37","51",-16.4557650788157,-71.5206526991914,NA
"1.25.37.52",1,25,"37","52",-16.4557123037882,-71.5206993902941,NA
"1.25.37.53",1,25,"37","53",-16.4556563302052,-71.5207560866473,NA
"1.25.37.54",1,25,"37","54",-16.4555987573639,-71.5207977751079,NA
"1.25.37.55",1,25,"37","55",-16.4554676202058,-71.5206160124388,NA
"1.25.37.56",1,25,"37","56",-16.4555283914177,-71.520559316126,NA
"1.25.37.57",1,25,"37","57",-16.4555795671969,-71.5205009522355,NA
"1.25.37.58",1,25,"37","58",-16.4556627277332,-71.5204359181922,NA
"1.25.37.59",1,25,"37","59",-16.4557266973445,-71.5203858919585,NA
"1.25.37.60",1,25,"37","60",-16.4557778730296,-71.5203375332076,NA
"1.25.37.61",1,25,"37","61",-16.4558386441568,-71.5202791691283,NA
"1.25.37.62",1,25,"37","62",-16.4561969097841,-71.5207356822303,NA
"1.25.37.63",1,25,"37","63",-16.4561313406797,-71.5207923787545,NA
"1.25.37.64",1,25,"37","64",-16.456078565588,-71.5208374023977,NA
"1.25.37.65",1,25,"37","65",-16.4560257905377,-71.5208774233526,NA
"1.25.37.66",1,25,"37","66",-16.4559666185306,-71.520922446883,NA
"1.25.37.67",1,25,"37","67",-16.4558578699452,-71.5210174965106,NA
"1.25.37.68",1,25,"37","68",-16.4557795074289,-71.5209674698763,NA
"1.25.37.69",1,25,"37","69",-16.4556739579675,-71.5208657493379,NA
"1.25.37.70",1,25,"37","70",-16.4557699125416,-71.5207907101939,NA
"1.25.37.71",1,25,"37","71",-16.4558210883006,-71.52074902173,NA
"1.25.37.72",1,25,"37","72",-16.4558722640963,-71.5206906577644,NA
"1.25.37.73",1,25,"37","73",-16.4559186421653,-71.5206372963613,NA
"1.25.37.74",1,25,"37","74",-16.4559810126342,-71.5205906051091,NA
"1.25.37.75",1,25,"37","75",-16.4560417838928,-71.5205455813226,NA
"1.25.37.76",1,25,"37","76",-16.4562720745741,-71.5203721569449,NA
"1.25.37.77",1,25,"37","77",-16.456313654821,-71.5203204629671,NA
"1.25.37.78",1,25,"37","78",-16.4563600327744,-71.5202570961005,NA
"1.25.37.79",1,25,"37","79",-16.4564176053973,-71.5202054020276,NA
"1.25.37.80",1,25,"37","80",-16.4564847734684,-71.5201703834092,NA
"1.25.37.81",1,25,"37","81",-16.4565471438445,-71.5201303620702,NA
"1.25.37.82",1,25,"37","82",-16.4566750829856,-71.5203071226769,NA
"1.25.37.83",1,25,"37","83",-16.4566271057101,-71.5203571492504,NA
"1.25.37.84",1,25,"37","84",-16.4565727314991,-71.5204055082124,NA
"1.25.37.85",1,25,"37","85",-16.456515158823,-71.5204572022208,NA
"1.25.37.86",1,25,"37","86",-16.4564559869446,-71.5204872180389,NA
"1.25.37.87",1,25,"37","87",-16.456392017282,-71.5205622576471,NA
"1.25.37.88",1,25,"37","88",-16.4564671813282,-71.5206389650972,NA
"1.25.37.89",1,25,"37","89",-16.4565743306731,-71.5205305743801,NA
"1.25.37.90",1,25,"37","90",-16.4566335026117,-71.520475545263,NA
"1.25.37.91",1,25,"37","91",-16.4566862775423,-71.5204371916436,NA
"1.25.37.92",1,25,"37","92",-16.4567470486637,-71.5203871651552,NA
"1.25.37.93",1,25,"37","93",-16.4568062205421,-71.5203321359772,NA
"1.25.37.94",1,25,"37","94",-16.4568669916506,-71.5203037876071,NA
"1.25.37.95",1,25,"37","95",-16.4570109231703,-71.5204638729515,NA
"1.25.37.96",1,25,"37","96",-16.4569533504426,-71.5205138994993,NA
"1.25.37.97",1,25,"37","97",-16.4568957777221,-71.5205705962384,NA
"1.25.37.98",1,25,"37","98",-16.4568414034964,-71.5206172876395,NA
"1.25.37.99",1,25,"37","99",-16.4567822315473,-71.5206623114671,NA
"1.25.40.249",1,25,"40","249",-16.4525005428596,-71.5351284974566,NA
"1.25.41.21",1,25,"41","21",-16.454215891075,-71.5357186601735,NA
