"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.24.1.295",1,24,"1","295",-16.4487564164085,-71.5940098259664,NA
"1.24.1.3",1,24,"1","3",-16.4473342484835,-71.6006570113811,NA
"1.24.1.851",1,24,"1","851",-16.4555157621638,-71.5843468207452,NA
"1.24.1.852",1,24,"1","852",-16.4553576120816,-71.5841770506128,NA
"1.24.1.905",1,24,"1","905",-16.4454285399561,-71.581188403194,NA
"1.24.1.852A",1,24,"1","852A",-16.4553576120816,-71.5841770506128,NA
"1.24.2.1",1,24,"2","1",-16.4405339831337,-71.5927414697544,NA
"1.24.2.129",1,24,"2","129",-16.4434421958501,-71.5985349450654,NA
"1.24.2.130",1,24,"2","130",-16.4433116238354,-71.598575405485,NA
"1.24.2.174",1,24,"2","174",-16.4430429992192,-71.5988425752294,NA
"1.24.2.175",1,24,"2","175",-16.4429513712663,-71.5988534932612,NA
"1.24.2.2",1,24,"2","2",-16.4406363531031,-71.5926782013265,NA
"1.24.2.31",1,24,"2","31",-16.4432752972551,-71.5954090199245,NA
"1.24.2.32",1,24,"2","32",-16.44316990846,-71.5954574272426,NA
"1.24.2.77",1,24,"2","77",-16.4423091370232,-71.5971421275597,NA
"1.24.2.87",1,24,"2","87",-16.4418874115005,-71.597418199595,NA
"1.24.2.88",1,24,"2","88",-16.4420616546397,-71.5973735113948,NA
"1.24.2.97",1,24,"2","97",-16.4424697144603,-71.5972094661868,NA
"1.24.2.98",1,24,"2","98",-16.4425525619118,-71.5971513550976,NA
"1.24.2.174A",1,24,"2","174A",-16.4430429992192,-71.5988425752294,NA
"1.24.3.112",1,24,"3","112",-16.4407185259463,-71.6041771880131,NA
"1.24.3.125",1,24,"3","125",-16.4410376113602,-71.6034801820002,NA
"1.24.3.132",1,24,"3","132",-16.4416205897027,-71.6031359486573,NA
"1.24.3.143",1,24,"3","143",-16.441558759303,-71.6019962897241,NA
"1.24.3.152",1,24,"3","152",-16.4410996724216,-71.601160604839,NA
"1.24.3.153",1,24,"3","153",-16.4411085222556,-71.600970485045,NA
"1.24.3.158",1,24,"3","158",-16.4411288517872,-71.6006571466571,NA
"1.24.3.163",1,24,"3","163",-16.4418647247185,-71.6000330851779,NA
"1.24.3.147",1,24,"3","147",-16.4410862634427,-71.6014012721119,NA
"1.24.3.39",1,24,"3","39",-16.4415341690168,-71.6008632232857,NA
"1.24.3.40",1,24,"3","40",-16.4414827023527,-71.6010903524793,NA
"1.24.3.47",1,24,"3","47",-16.4418129050831,-71.601394710374,NA
"1.24.3.50",1,24,"3","50",-16.4414552228069,-71.6013756951028,NA
"1.24.3.54",1,24,"3","54",-16.4418474735309,-71.6015585742406,NA
"1.24.3.55",1,24,"3","55",-16.4419275077231,-71.6015471521684,NA
"1.24.3.56",1,24,"3","56",-16.4420342798707,-71.6015476108007,NA
"1.24.3.79",1,24,"3","79",-16.442679602575,-71.6035352058395,NA
"1.24.3.98",1,24,"3","98",-16.4420483672091,-71.603784604063,NA
"1.24.3.125A",1,24,"3","125A",-16.4410376113602,-71.6034801820002,NA
"1.24.4.1",1,24,"4","1",-16.4399531181311,-71.5995948793228,NA
"1.24.4.100",1,24,"4","100",-16.4407361097972,-71.600796628917,NA
"1.24.4.101",1,24,"4","101",-16.4407386203251,-71.6007271819365,NA
"1.24.4.102",1,24,"4","102",-16.4407163707544,-71.6006439995141,NA
"1.24.4.103",1,24,"4","103",-16.4408252477103,-71.6006354011375,NA
"1.24.4.104",1,24,"4","104",-16.4409251907311,-71.6006375362111,NA
"1.24.4.108",1,24,"4","108",-16.440670684969,-71.6004650584687,NA
"1.24.4.109",1,24,"4","109",-16.4406371908097,-71.6003934674672,NA
"1.24.4.110",1,24,"4","110",-16.4405978296161,-71.6003088705918,NA
"1.24.4.115",1,24,"4","115",-16.4411733469599,-71.5996382212467,NA
"1.24.4.12",1,24,"4","12",-16.4405480982925,-71.6007305221185,NA
"1.24.4.121",1,24,"4","121",-16.4404639534547,-71.6000419579985,NA
"1.24.4.122",1,24,"4","122",-16.4405273616393,-71.5999786916425,NA
"1.24.4.123",1,24,"4","123",-16.4405920633208,-71.5999485260185,NA
"1.24.4.125",1,24,"4","125",-16.4406947622728,-71.5998540022097,NA
"1.24.4.13",1,24,"4","13",-16.4405676111672,-71.6008201131833,NA
"1.24.4.131",1,24,"4","131",-16.4403052119509,-71.5997894405923,NA
"1.24.4.133",1,24,"4","133",-16.4404202781232,-71.5996701356352,NA
"1.24.4.134",1,24,"4","134",-16.4404793018615,-71.5996001870263,NA
"1.24.4.136",1,24,"4","136",-16.4404190507074,-71.5994478949284,NA
"1.24.4.14",1,24,"4","14",-16.4405474081895,-71.600906376205,NA
"1.24.4.15",1,24,"4","15",-16.4404878999514,-71.6010148008326,NA
"1.24.4.16",1,24,"4","16",-16.4404568948942,-71.6011062075453,NA
"1.24.4.18",1,24,"4","18",-16.4403742224455,-71.6011888270569,NA
"1.24.4.2",1,24,"4","2",-16.4398386257212,-71.5996323297148,NA
"1.24.4.22",1,24,"4","22",-16.4403722967286,-71.6015649091481,NA
"1.24.4.23",1,24,"4","23",-16.440478906305,-71.6015456992527,NA
"1.24.4.26",1,24,"4","26",-16.4404063095006,-71.6017318148443,NA
"1.24.4.27",1,24,"4","27",-16.4404159625844,-71.6018372606841,NA
"1.24.4.37",1,24,"4","37",-16.440534737869,-71.6023137586955,NA
"1.24.4.38",1,24,"4","38",-16.4406182785838,-71.6024681331515,NA
"1.24.4.41",1,24,"4","41",-16.4406636005698,-71.6025916509009,NA
"1.24.4.42",1,24,"4","42",-16.44070696648,-71.6026819706093,NA
"1.24.4.43",1,24,"4","43",-16.4407331277996,-71.6027859633984,NA
"1.24.4.49",1,24,"4","49",-16.4412059121236,-71.6029082172159,NA
"1.24.4.52",1,24,"4","52",-16.4410769244094,-71.6027691387061,NA
"1.24.4.53",1,24,"4","53",-16.4409998175704,-71.6027604296466,NA
"1.24.4.63",1,24,"4","63",-16.4409728216481,-71.6024559976502,NA
"1.24.4.64",1,24,"4","64",-16.4408795659933,-71.60246253829,NA
"1.24.4.65",1,24,"4","65",-16.4408371351822,-71.6023116567244,NA
"1.24.4.73",1,24,"4","73",-16.4407911390766,-71.6021605891687,NA
"1.24.4.92",1,24,"4","92",-16.440682068171,-71.6010186042574,NA
"1.24.4.115B",1,24,"4","115B",-16.4411733469599,-71.5996382212467,NA
"1.24.4.115A",1,24,"4","115A",-16.4411733469599,-71.5996382212467,NA
"1.24.4.115C",1,24,"4","115C",-16.4411733469599,-71.5996382212467,NA
"1.24.4.115D",1,24,"4","115D",-16.4411733469599,-71.5996382212467,NA
"1.24.5.189",1,24,"5","189",-16.4401269727407,-71.5970979323825,NA
"1.24.5.195",1,24,"5","195",-16.440303305182,-71.5976671852667,NA
"1.24.5.211",1,24,"5","211",-16.4394074389735,-71.5974016644069,NA
"1.24.5.212",1,24,"5","212",-16.4392985097524,-71.5974339275103,NA
"1.24.5.213",1,24,"5","213",-16.4391954129162,-71.5974679634812,NA
"1.24.5.214",1,24,"5","214",-16.4390856974941,-71.5975110770466,NA
"1.24.5.216",1,24,"5","216",-16.4390112872642,-71.5976224796004,NA
"1.24.5.241",1,24,"5","241",-16.4397233675608,-71.5979752299841,NA
"1.24.5.259",1,24,"5","259",-16.4401689733382,-71.5985481591985,NA
"1.24.5.260",1,24,"5","260",-16.4401472664862,-71.5985801896655,NA
"1.24.5.264",1,24,"5","264",-16.4400998756807,-71.5987406900045,NA
"1.24.5.343",1,24,"5","343",-16.4390374851415,-71.6044116031867,NA
"1.24.5.563",1,24,"5","563",-16.4386165879344,-71.5952931029898,NA
"1.24.5.564",1,24,"5","564",-16.4386550676562,-71.595209948999,NA
"1.24.5.61",1,24,"5","61",-16.4400950173369,-71.5965182733262,NA
"1.24.5.89",1,24,"5","89",-16.439306101025,-71.5955800927451,NA
"1.24.5.98",1,24,"5","98",-16.4391247533828,-71.5954166220534,NA
"1.24.5.99",1,24,"5","99",-16.439143883161,-71.5952919729765,NA
"1.24.5.76B",1,24,"5","76B",-16.4396310615,-71.5957898083,NA
"1.24.5.195B",1,24,"5","195B",-16.440303305182,-71.5976671852667,NA
"1.24.5.195C",1,24,"5","195C",-16.440303305182,-71.5976671852667,NA
"1.24.5.195A",1,24,"5","195A",-16.440303305182,-71.5976671852667,NA
"1.24.5.343D",1,24,"5","343D",-16.4390374851415,-71.6044116031867,NA
"1.24.5.343C",1,24,"5","343C",-16.4390374851415,-71.6044116031867,NA
"1.24.5.343B",1,24,"5","343B",-16.4390374851415,-71.6044116031867,NA
"1.24.5.343A",1,24,"5","343A",-16.4390374851415,-71.6044116031867,NA
"1.24.6.119",1,24,"6","119",-16.4401701054369,-71.5948711193985,NA
"1.24.6.13",1,24,"6","13",-16.4410746767962,-71.5936629388163,NA
"1.24.6.15",1,24,"6","15",-16.4408971467651,-71.5937321013045,NA
"1.24.6.31",1,24,"6","31",-16.4399017835139,-71.5931355062199,NA
"1.24.6.67",1,24,"6","67",-16.4403244682032,-71.5940007653538,NA
"1.24.6.91",1,24,"6","91",-16.4407520360186,-71.5945746014004,NA
"1.24.6.92",1,24,"6","92",-16.4406188454212,-71.5946798058129,NA
"1.24.6.93",1,24,"6","93",-16.4401745410873,-71.5942142463307,NA
"1.24.6.91A",1,24,"6","91A",-16.44067956,-71.59462945,NA
"1.24.7.106",1,24,"7","106",-16.4395316520674,-71.5907832789803,NA
"1.24.7.109",1,24,"7","109",-16.4394622946993,-71.5906336266975,NA
"1.24.7.119",1,24,"7","119",-16.4408637492727,-71.5903890737824,NA
"1.24.7.120",1,24,"7","120",-16.4409306524411,-71.5903213465611,NA
"1.24.8.12",1,24,"8","12",-16.4414631598686,-71.5876748202841,NA
"1.24.8.13",1,24,"8","13",-16.4414247954267,-71.5874973823043,NA
"1.24.8.135",1,24,"8","135",-16.4408485690133,-71.5888057928229,NA
"1.24.8.14",1,24,"8","14",-16.4413241978472,-71.5875577633319,NA
"1.24.8.15",1,24,"8","15",-16.4412155276427,-71.5875687841677,NA
"1.24.8.157",1,24,"8","157",-16.4414856327795,-71.588358965815,NA
"1.24.8.27",1,24,"8","27",-16.4413594565037,-71.5871259360483,NA
"1.24.8.28",1,24,"8","28",-16.4412765340578,-71.5871294906545,NA
"1.24.8.30",1,24,"8","30",-16.4411318428682,-71.587136643003,NA
"1.24.8.38",1,24,"8","38",-16.4411010852306,-71.5867265406479,NA
"1.24.8.39",1,24,"8","39",-16.4410127964723,-71.5867281183967,NA
"1.24.8.49",1,24,"8","49",-16.4410586225804,-71.5862609726863,NA
"1.24.8.50",1,24,"8","50",-16.4409588674326,-71.5862634931277,NA
"1.24.8.51",1,24,"8","51",-16.4406758348845,-71.5863372505277,NA
"1.24.8.66",1,24,"8","66",-16.4403670218554,-71.5859329505409,NA
"1.24.10.228",1,24,"10","228",-16.4333201913512,-71.6004346636106,NA
"1.24.13.54",1,24,"13","54",-16.4431787567609,-71.6099088200198,NA
"1.24.13.54A",1,24,"13","54A",-16.4431787567609,-71.6099088200198,NA
