"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.8.2.31",1,8,"2","31",-16.454117624539,-71.5128246970338,NA
"1.8.7.140",1,8,"7","140",-16.4488809688891,-71.5154820764542,NA
"1.8.9.165",1,8,"9","165",-16.4472588961482,-71.5190962553689,NA
"1.8.9.166",1,8,"9","166",-16.4472154757791,-71.5190237832933,NA
"1.8.14.147",1,8,"14","147",-16.4323416189924,-71.5129196284162,NA
"1.8.14.148",1,8,"14","148",-16.4323050135979,-71.5129962014616,NA
"1.8.14.158",1,8,"14","158",-16.4324800051688,-71.513138051964,NA
"1.8.14.159",1,8,"14","159",-16.4326189918274,-71.5132413938408,NA
"1.8.14.160",1,8,"14","160",-16.4325705210883,-71.513308532393,NA
"1.8.14.169",1,8,"14","169",-16.4327674750843,-71.5135048653476,NA
"1.8.14.170",1,8,"14","170",-16.4328296702405,-71.5134454243516,NA
"1.8.14.171",1,8,"14","171",-16.4329160526511,-71.5134039954482,NA
"1.8.15.50",1,8,"15","50",-16.4365740496331,-71.5285578838183,NA
"1.8.15.51",1,8,"15","51",-16.4366436019196,-71.5284408148632,NA
"1.8.15.52",1,8,"15","52",-16.4368546979469,-71.5283233009249,NA
"1.8.15.69",1,8,"15","69",-16.4367361424278,-71.5276211049028,NA
"1.8.16.1",1,8,"16","1",-16.4354832106413,-71.5307824270681,NA
"1.8.18.225",1,8,"18","225",-16.4277874623943,-71.5461070943315,NA
"1.8.18.236",1,8,"18","236",-16.4278876849904,-71.5460246861486,NA
"1.8.19.6",1,8,"19","6",-16.428962662164,-71.540938442339,NA
"1.8.23.79",1,8,"23","79",-16.4337841862294,-71.5336335709156,NA
"1.8.27.6",1,8,"27","6",-16.4316489504882,-71.5124712918006,NA
"1.8.27.19",1,8,"27","19",-16.4318474039782,-71.5126032794223,NA
"1.8.27.20",1,8,"27","20",-16.4319794147689,-71.5127148654801,NA
"1.8.28.172",1,8,"28","172",-16.4345640649467,-71.516642052079,NA
"1.8.30.143",1,8,"30","143",-16.43122429,-71.51228251,NA
"1.8.30.144",1,8,"30","144",-16.43117866,-71.51222592,NA
"1.8.30.145",1,8,"30","145",-16.43113298,-71.51213341,NA
"1.8.30.146",1,8,"30","146",-16.43105093,-71.51213605,NA
"1.8.30.147",1,8,"30","147",-16.43097885,-71.51219666,NA
"1.8.39.19",1,8,"39","19",-16.4299136519148,-71.5430286896686,NA
"1.8.39.20",1,8,"39","20",-16.4299088745461,-71.5429922729445,NA
"1.8.39.23",1,8,"39","23",-16.4298950320837,-71.5427060241101,NA
