"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.5.1.19",1,5,"1","19",-16.4805050370435,-71.4711167890062,NA
"1.5.2.25",1,5,"2","25",-16.473936095416,-71.4662680802449,NA
"1.5.2.26",1,5,"2","26",-16.4739381433135,-71.4664983020768,NA
"1.5.2.27",1,5,"2","27",-16.4739769866405,-71.4667711566805,NA
"1.5.2.33",1,5,"2","33",-16.4746939722897,-71.4719575467319,NA
"1.5.2.59",1,5,"2","59",-16.4763741096546,-71.4713635957547,NA
"1.5.5.63",1,5,"5","63",-16.4761771187736,-71.4837315293583,NA
"1.5.12.1",1,5,"12","1",-16.4803427545876,-71.4993867663741,NA
"1.5.12.10",1,5,"12","10",-16.479551692562,-71.4989476843678,NA
"1.5.12.166",1,5,"12","166",-16.4799344054867,-71.4927763209775,NA
"1.5.13.219",1,5,"13","219",-16.4792883052259,-71.4850846388857,NA
"1.5.13.220",1,5,"13","220",-16.4792948461731,-71.4853868305281,NA
"1.5.13.221",1,5,"13","221",-16.4792215353099,-71.4848469663913,NA
"1.5.13.222",1,5,"13","222",-16.4790863933051,-71.484643255425,NA
"1.5.13.223",1,5,"13","223",-16.479293155723,-71.4847417006784,NA
"1.5.13.339",1,5,"13","339",-16.4839129654401,-71.483290794629,NA
"1.5.13.340",1,5,"13","340",-16.483282297092,-71.4832842011079,NA
"1.5.13.341",1,5,"13","341",-16.4830820171064,-71.4832842243303,NA
"1.5.13.342",1,5,"13","342",-16.4837510248298,-71.4831730494478,NA
"1.5.13.343",1,5,"13","343",-16.4840918910845,-71.4828441593682,NA
"1.5.13.344",1,5,"13","344",-16.4839406157022,-71.4828419550098,NA
"1.5.13.345",1,5,"13","345",-16.4834953080845,-71.4827931241154,NA
"1.5.13.346",1,5,"13","346",-16.4830606455497,-71.4826754116339,NA
"1.5.13.347",1,5,"13","347",-16.4837275308846,-71.4826442255058,NA
"1.5.13.348",1,5,"13","348",-16.4838234045724,-71.4825997750978,NA
"1.5.13.349",1,5,"13","349",-16.4839235453959,-71.4826086511196,NA
"1.5.13.350",1,5,"13","350",-16.4839192491818,-71.4822931315598,NA
"1.5.13.351",1,5,"13","351",-16.4835996554538,-71.4823042795824,NA
"1.5.13.352",1,5,"13","352",-16.4831096116866,-71.4823287799183,NA
"1.5.13.353",1,5,"13","353",-16.4835229372036,-71.4821665262095,NA
"1.5.13.354",1,5,"13","354",-16.483608159329,-71.4821376305319,NA
"1.5.13.355",1,5,"13","355",-16.483738130425,-71.4821598344436,NA
"1.5.13.356",1,5,"13","356",-16.4841024319238,-71.4818264964197,NA
"1.5.13.357",1,5,"13","357",-16.483671385371,-71.4818640755847,NA
"1.5.13.358",1,5,"13","358",-16.482900540255,-71.4818707949536,NA
"1.5.13.359",1,5,"13","359",-16.4825463879683,-71.4818444578951,NA
"1.5.13.360",1,5,"13","360",-16.4828936700537,-71.4821250084559,NA
"1.5.13.361",1,5,"13","361",-16.4828752962321,-71.482338452753,NA
"1.5.13.362",1,5,"13","362",-16.4827764180158,-71.482408013199,NA
"1.5.13.363",1,5,"13","363",-16.4825717330484,-71.4822785336559,NA
"1.5.15.26",1,5,"15","26",-16.482950075674,-71.4976299221707,NA
"1.5.15.27",1,5,"15","27",-16.482790968127,-71.4972695264882,NA
"1.5.16.1",1,5,"16","1",-16.4747263325127,-71.5032065927588,NA
"1.5.18.28",1,5,"18","28",-16.4723876356897,-71.5051030635969,NA
"1.5.20.1",1,5,"20","1",-16.4664004574631,-71.4951717467345,NA
"1.5.20.19",1,5,"20","19",-16.4651477597473,-71.4955854205701,NA
"1.5.21.269",1,5,"21","269",-16.4632233663059,-71.5040166570652,NA
