"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.9.6.1",1,9,"6","1",-16.4899094683563,-71.8081798067307,NA
"1.9.6.165",1,9,"6","165",-16.4881235834483,-71.8166436030974,NA
"1.9.6.76",1,9,"6","76",-16.4900329976613,-71.8153020990349,NA
"1.9.9.108",1,9,"9","108",-16.4334996020893,-71.8227247366274,NA
"1.9.9.109",1,9,"9","109",-16.4336615531274,-71.8240557504086,NA
"1.9.9.113",1,9,"9","113",-16.4336916005752,-71.8242755340913,NA
"1.9.9.186",1,9,"9","186",-16.4327525495765,-71.8258664267113,NA
"1.9.9.223",1,9,"9","223",-16.4312432246925,-71.8248498517809,NA
"1.9.10.101",1,9,"10","101",-16.429339042219,-71.822246500378,NA
"1.9.10.102",1,9,"10","102",-16.4293410067159,-71.8221433475873,NA
"1.9.10.103",1,9,"10","103",-16.4293397012989,-71.8220405314582,NA
"1.9.10.104",1,9,"10","104",-16.4293458210524,-71.8219563670446,NA
"1.9.10.105",1,9,"10","105",-16.4293516887667,-71.821880437743,NA
"1.9.10.106",1,9,"10","106",-16.429369245647,-71.8217995837566,NA
"1.9.10.107",1,9,"10","107",-16.4293845855627,-71.8217260099799,NA
"1.9.13.41",1,9,"13","41",-16.4265206317217,-71.8098677573477,NA
"1.9.14.6",1,9,"14","6",-16.4234528646244,-71.810041107531,NA
"1.9.14.7",1,9,"14","7",-16.4236747861703,-71.8098256195424,NA
"1.9.16.356",1,9,"16","356",-16.4251998440411,-71.8172481897101,NA
"1.9.16.690",1,9,"16","690",-16.4215561525735,-71.808952764704,NA
"1.9.16.739",1,9,"16","739",-16.4200870864245,-71.8072928798697,NA
"1.9.19.3",1,9,"19","3",-16.4222134813044,-71.8580267558574,NA
"1.9.20.124",1,9,"20","124",-16.4654855829802,-71.8708879910092,NA
"1.9.20.132",1,9,"20","132",-16.4670426853864,-71.8738599360101,NA
"1.9.20.14",1,9,"20","14",-16.4863709415393,-71.8546415971496,NA
"1.9.20.47",1,9,"20","47",-16.473169635267,-71.8522228392457,NA
"1.9.22.43",1,9,"22","43",-16.4915385916611,-71.8358568220107,NA
"1.9.22.51",1,9,"22","51",-16.4916666016884,-71.83666598931,NA
"1.9.22.55",1,9,"22","55",-16.4914207492523,-71.8362233574881,NA
"1.9.22.56",1,9,"22","56",-16.4913412293206,-71.8361607231895,NA
"1.9.22.57",1,9,"22","57",-16.4912142012004,-71.8360446933468,NA
"1.9.22A.45",1,9,"22A","45",-16.4916349560742,-71.8301746026195,NA
