"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.10.3.185",1,"10","3","185",-16.39511891,-71.5079802,NA
"1.10.15.200",1,"10","15","200",-16.39850831,-71.49483999,NA
"1.10.15.174B",1,"10","15","174B",-16.39966932,-71.49519738,NA
"1.10.16.120E",1,"10","16","120E",-16.3953272,-71.49257436,NA
"1.10.16.120F",1,"10","16","120F",-16.39526638,-71.49246885,NA
"1.10.16.120I",1,"10","16","120I",-16.39542318,-71.49233129,NA
"1.10.16.120J",1,"10","16","120J",-16.39550976,-71.4922895,NA
"1.10.24.1",1,"10","24","1",-16.39798764,-71.49005016,NA
"1.10.37.718",1,"10","37","718",-16.40326829,-71.49656125,NA
"1.10.37.719",1,"10","37","719",-16.40276863,-71.49637754,NA
