"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.24.9.25",1,"24","9","25",-16.44283387,-71.58360451,NA
"1.24.9.26",1,"24","9","26",-16.44346464,-71.58313324,NA
"1.24.9.32",1,"24","9","32",-16.44436103,-71.58669307,NA
"1.24.11A.14",1,"24","11A","14",-16.4162114,-71.59745904,NA
"1.24.11A.15",1,"24","11A","15",-16.41566179,-71.59745432,NA
"1.24.11A.23",1,"24","11A","23",-16.42109372,-71.60416002,NA
"1.24.11A.24",1,"24","11A","24",-16.42111831,-71.60373441,NA
"1.24.11A.63",1,"24","11A","63",-16.42363899,-71.61330434,NA
"1.24.11A.73",1,"24","11A","73",-16.41313279,-71.61042558,NA
"1.24.11A.83",1,"24","11A","83",-16.41140247,-71.61200231,NA
"1.24.11A.84",1,"24","11A","84",-16.41151304,-71.61219712,NA
"1.24.11A.122",1,"24","11A","122",-16.4102547,-71.6192449,NA
"1.24.11A.138",1,"24","11A","138",-16.41564321,-71.62476665,NA
"1.24.11A.174",1,"24","11A","174",-16.42651595,-71.61812331,NA
"1.24.11A.180",1,"24","11A","180",-16.43251773,-71.62089318,NA
"1.24.11A.187",1,"24","11A","187",-16.43024939,-71.61620979,NA
"1.24.11A.202",1,"24","11A","202",-16.43520566,-71.61900989,NA
"1.24.12.1",1,"24","12","1",-16.45227143,-71.58902177,NA
