UNICODE,P,D,L,V,LATITUDE,LONGITUDE,block,
1.23.1.109,1,23,1,109,-16.42386665,-71.63539971,NA,punto
1.23.1.110,1,23,1,110,-16.42403656,-71.63532487,NA,punto
1.23.1.112,1,23,1,112,-16.42423228,-71.63515849,NA,punto
1.23.1.119,1,23,1,119,-16.42449927,-71.63491309,NA,punto
1.23.2.47,1,23,2,47,-16.42322366,-71.63472265,NA,esta correcto
1.23.5.56,1,23,5,56,-16.44176835,-71.62549212,NA,punto
1.23.5.57,1,23,5,57,-16.44182543,-71.62543453,NA,punto
1.23.15.71,1,23,15,71,-16.45446404,-71.61728265,NA,punto 
1.23.24.75,1,23,24,75,-16.42375501,-71.67054919,NA,puntp
1.23.24.76,1,23,24,76,-16.42365401,-71.67050714,NA,punto
1.23.24.81,1,23,24,81,-16.42371138,-71.67020123,NA,punto
1.23.29.6,1,23,29,6,-16.39793756,-71.72074375,NA,poligono
