"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.1.11.44A",1,"1","11","44A",-16.38473398,-71.51606404,NA
"1.1.19.36",1,"1","19","36",-16.36778567,-71.53191762,NA
"1.1.34.444",1,"1","34","444",-16.3709967,-71.50936706,NA
"1.1.39.14A",1,"1","39","14A",-16.36903883,-71.50844002,NA
"1.1.39.21A",1,"1","39","21A",-16.36901734,-71.50884574,NA
"1.1.48.44",1,"1","48","44",-16.368135,-71.50288735,NA
"1.1.78.292",1,"1","78","292",-16.36935665,-71.52569096,NA
"1.1.78.560",1,"1","78","560",-16.36927596,-71.52693813,NA
"1.1.78.164A",1,"1","78","164A",-16.3677116,-71.52436765,NA
"1.1.78.230A",1,"1","78","230A",-16.36801975,-71.52491626,NA
