"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.4.246.1",1,"4","246","1",-16.32067963,-71.55598128,NA
"1.4.246.23",1,"4","246","23",-16.32069297,-71.55716992,NA
"1.4.246.44",1,"4","246","44",-16.32054676,-71.55717054,NA
"1.4.246.45",1,"4","246","45",-16.32070182,-71.55833137,NA
"1.4.246.501",1,"4","246","501",-16.31550068,-71.55719748,NA
"1.4.246.536",1,"4","246","536",-16.31359152,-71.55607913,NA
"1.4.246.585",1,"4","246","585",-16.31324365,-71.55419697,NA
"1.4.246.594",1,"4","246","594",-16.31326966,-71.55350262,NA
"1.4.246.1161",1,"4","246","1161",-16.31961767,-71.55350084,NA
"1.4.246.1162",1,"4","246","1162",-16.31975929,-71.55351976,NA
"1.4.246.1184",1,"4","246","1184",-16.32025884,-71.55367773,NA
"1.4.163.66",1,"4","163","66",-16.32158122,-71.59786067,NA
"1.4.156.420",1,"4","156","420",-16.3249572,-71.60856174,NA
"1.4.155A.574",1,"4","155A","574",-16.32828386,-71.61561832,NA
"1.4.155A.581",1,"4","155A","581",-16.32868151,-71.61542622,NA
"1.4.155A.582",1,"4","155A","582",-16.32860421,-71.6153947,NA
"1.4.155.47",1,"4","155","47",-16.32572733,-71.6096483,NA
"1.4.155.59",1,"4","155","59",-16.32551072,-71.6098523,NA
"1.4.155.97",1,"4","155","97",-16.32628838,-71.61052359,NA
"1.4.155.151",1,"4","155","151",-16.32668754,-71.61048316,NA
"1.4.139.222",1,"4","139","222",-16.3268411,-71.60510596,NA
"1.4.139.323",1,"4","139","323",-16.3261915,-71.60685308,NA
"1.4.139.326",1,"4","139","326",-16.32598549,-71.60668362,NA
"1.4.139.327",1,"4","139","327",-16.32590557,-71.60661935,NA
"1.4.139.328",1,"4","139","328",-16.32583937,-71.60655698,NA
"1.4.134.324",1,"4","134","324",-16.33737721,-71.60462619,NA
"1.4.134.496",1,"4","134","496",-16.33470749,-71.60469179,NA
"1.4.134.521",1,"4","134","521",-16.33527654,-71.60399937,NA
