"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block"
"1.7.1.64B",1,"7","1","64B",-16.44647336,-71.56086889,NA
"1.7.8.178A",1,"7","8","178A",-16.44757708,-71.56547781,NA
"1.7.8A.181",1,"7","8A","181",-16.45197098,-71.55552203,NA
"1.7.8A.518",1,"7","8A","518",-16.44780075,-71.5626654,NA
"1.7.8A.519",1,"7","8A","519",-16.44775408,-71.56273307,NA
"1.7.8A.180A",1,"7","8A","180A",-16.45190385,-71.55559282,NA
"1.7.10.115",1,"7","10","115",-16.43940427,-71.56063309,NA
"1.7.18.29",1,"7","18","29",-16.43536439,-71.5625887,NA
"1.7.24.364",1,"7","24","364",-16.44506526,-71.55874372,NA
"1.7.37.95",1,"7","37","95",-16.45452128,-71.5556175,NA
"1.7.42A.76",1,"7","42A","76",-16.45224688,-71.56122497,NA
