"UNICODE","P","D","L","V","P_TRIAT","I_TRIAT","CICLO","FECHA","LATITUDE","LONGITUDE"
"1.1.87.362",1,1,"87","362",0,"",1,"06/18/15",NA,NA
"1.1.87.362",1,1,"87","362",0,"",2,"10/06/2015",NA,NA
"1.1.87.363",1,1,"87","363",0,"",1,"03/17/15",NA,NA
"1.1.87.363",1,1,"87","363",0,"",2,"10/01/2015",NA,NA
"1.1.87.364",1,1,"87","364",11,"1",1,"03/17/15",NA,NA
"1.1.87.364",1,1,"87","364",0,"",2,"10/01/2015",NA,NA
"1.1.87.365",1,1,"87","365",20,"1",1,"03/17/15",NA,NA
"1.1.87.365",1,1,"87","365",0,"",2,"10/01/2015",NA,NA
"1.1.87.366",1,1,"87","366",0,"",1,"03/18/15",NA,NA
"1.1.87.367",1,1,"87","367",0,"",1,"03/17/15",NA,NA
"1.1.87.367",1,1,"87","367",0,"",2,"10/01/2015",NA,NA
"1.1.87.368",1,1,"87","368",0,"",1,"03/17/15",NA,NA
"1.1.87.368",1,1,"87","368",0,"",2,"10/02/2015",NA,NA
"1.1.87.369",1,1,"87","369",0,"",1,"03/18/15",NA,NA
"1.1.87.369",1,1,"87","369",0,"",2,"10/02/2015",NA,NA
"1.1.87.370",1,1,"87","370",0,"",1,"06/18/15",NA,NA
"1.1.87.370",1,1,"87","370",0,"",2,"10/02/2015",NA,NA
"1.1.87.371",1,1,"87","371",0,"",1,"03/17/15",NA,NA
"1.1.87.371",1,1,"87","371",0,"",2,"10/05/2015",NA,NA
"1.1.87.372",1,1,"87","372",0,"",1,"03/18/15",NA,NA
"1.1.87.372",1,1,"87","372",0,"",2,"10/05/2015",NA,NA
"1.1.87.373",1,1,"87","373",0,"",1,"03/17/15",NA,NA
"1.1.87.373",1,1,"87","373",0,"",2,"10/05/2015",NA,NA
"1.1.87.374",1,1,"87","374",0,"",1,"06/18/15",NA,NA
"1.1.87.374",1,1,"87","374",0,"",2,"10/06/2015",NA,NA
"1.1.87.375",1,1,"87","375",0,"",1,"06/18/15",NA,NA
"1.1.87.375",1,1,"87","375",0,"",2,"10/06/2015",NA,NA
"1.1.87.376",1,1,"87","376",0,"",2,"10/06/2015",NA,NA
"1.1.87.377",1,1,"87","377",0,"",1,"03/18/15",NA,NA
