"UNICODE","P","D","L","V","P_TRIAT","I_TRIAT","CICLO","FECHA","LATITUDE","LONGITUDE"
"1.18.4A.19","1","18","4A","19",NA,NA,"1","29/04/2005",NA,NA
"1.18.4A.19","1","18","4A","19",NA,NA,"2","28/11/2005",NA,NA
"1.23.20.1","1","23","20","1",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.1","1","23","20","1",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.10","1","23","20","10",NA,NA,"1","11/08/2005",NA,NA
"1.23.20.10","1","23","20","10",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.11","1","23","20","11",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.11","1","23","20","11",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.12","1","23","20","12",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.12","1","23","20","12",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.13","1","23","20","13",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.13","1","23","20","13",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.14","1","23","20","14","10+","5","1","12/08/2005",NA,NA
"1.23.20.14","1","23","20","14",NA,NA,"2","13/02/2006",NA,NA
"1.23.20.15","1","23","20","15",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.15","1","23","20","15",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.16","1","23","20","16",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.16","1","23","20","16",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.17","1","23","20","17",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.17","1","23","20","17",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.18","1","23","20","18",NA,NA,"1","12/08/2005",NA,NA
"1.23.20.18","1","23","20","18",NA,NA,"2","13/02/2006",NA,NA
"1.23.20.19","1","23","20","19",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.19","1","23","20","19",NA,NA,"2","13/02/2006",NA,NA
"1.23.20.2","1","23","20","2",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.2","1","23","20","2",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.20","1","23","20","20",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.20","1","23","20","20",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.21","1","23","20","21",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.21","1","23","20","21",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.22","1","23","20","22",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.22","1","23","20","22",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.23","1","23","20","23",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.23","1","23","20","23",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.24","1","23","20","24",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.24","1","23","20","24",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.25","1","23","20","25",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.25","1","23","20","25",NA,NA,"2","14/02/2006",NA,NA
"1.23.20.26","1","23","20","26",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.26","1","23","20","26",NA,NA,"2","13/02/2006",NA,NA
"1.23.20.27","1","23","20","27",NA,NA,"1","19/08/2005",NA,NA
"1.23.20.27","1","23","20","27",NA,NA,"2","14/02/2006",NA,NA
